"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Testosterone","Rising",1.60877888071388,1.32693616504706e-05,1.32693616504706e-05,"posi_aging",1.60877888071388,"Adipose Tissue",1,3.96520486632456e-06,117,1,0.00271493212669683,0.401628959276018,1
"Sulfasalazine","Rising",-0.701020264174204,0.988911290322581,0.988911290322581,"anti_aging",0.701020264174204,"Adipose Tissue",166,6.98067016211257e-05,2,0.000177179305457123,0.497058823529412,0.29830616583983,2
"Phenytoin","Rising",-1.59555471227935,6.37462237971913e-06,6.37462237971913e-06,"anti_aging",1.59555471227935,"Adipose Tissue",2,2.11145058081545e-05,15,0.497058823529412,0.0611764705882353,0.235529411764706,3
"Riluzole","Rising",-1.39294544516245,0.00145513800246071,0.00145513800246071,"anti_aging",1.39294544516245,"Adipose Tissue",10,4.75997460727059e-05,3,0.0947058823529412,0.329411764705882,0.235529411764706,4
"Doconexent","Rising",-0.919206954958564,0.700110253583241,0.700110253583241,"anti_aging",0.919206954958564,"Adipose Tissue",116,4.48337420492237e-05,4,0.00278904665314402,0.245588235294118,0.148468559837728,5
"Fingolimod","Rising",-1.27265409455477,0.00406246529137382,0.00406246529137382,"anti_aging",1.27265409455477,"Adipose Tissue",18,4.12738436085078e-05,5,0.05,0.195294117647059,0.137176470588235,6
"Dopamine","Rising",1.49331460617017,0.000119799789761981,0.000119799789761981,"posi_aging",1.49331460617017,"Adipose Tissue",3,3.01852069833525e-06,159,0.329411764705882,0.00044395116537181,0.132031076581576,7
"Procaine","Rising",1.44683294920121,0.000301612440081999,0.000301612440081999,"posi_aging",1.44683294920121,"Adipose Tissue",4,7.52605036317726e-06,66,0.245588235294118,0.00935828877005348,0.103850267379679,8
"Caffeine","Rising",-0.648125637157733,0.998,0.998,"anti_aging",0.648125637157733,"Adipose Tissue",171,4.01804319183967e-05,6,0,0.161764705882353,0.0970588235294118,9
"Nicotine","Rising",-1.42798330367485,0.000189009355970506,0.000189009355970506,"anti_aging",1.42798330367485,"Adipose Tissue",6,1.30707420092937e-05,26,0.161764705882353,0.0328054298642534,0.0843891402714932,10
"Doxapram","Rising",0.95093523921888,0.648958333333333,0.648958333333333,"posi_aging",0.95093523921888,"Adipose Tissue",105,3.06714713436052e-05,7,0.00369747899159664,0.13781512605042,0.0841680672268907,11
"Nintedanib","Rising",-1.44329489356106,0.000325489475282113,0.000325489475282113,"anti_aging",1.44329489356106,"Adipose Tissue",5,3.45888256477215e-06,149,0.195294117647059,0.000868535333596526,0.0786387682589814,12
"Miconazole","Rising",0.801179804983746,0.965034965034965,0.965034965034965,"posi_aging",0.801179804983746,"Adipose Tissue",152,3.00581527293368e-05,8,0.000735294117647059,0.119852941176471,0.0722058823529412,13
"Etoposide","Rising",1.35572602870651,0.00693080711564758,0.00693080711564758,"posi_aging",1.35572602870651,"Adipose Tissue",12,2.33218684641784e-05,14,0.0779411764705882,0.0659663865546218,0.0707563025210084,14
"Fenofibrate","Rising",1.21229101328707,0.0538573508005822,0.0538573508005822,"posi_aging",1.21229101328707,"Adipose Tissue",31,2.4573288286879e-05,10,0.0265654648956357,0.0947058823529412,0.067449715370019,15
"Bosutinib","Rising",1.04985476042998,0.311111111111111,0.311111111111111,"posi_aging",1.04985476042998,"Adipose Tissue",69,2.66885053824747e-05,9,0.00869565217391304,0.105882352941176,0.0670076726342711,16
"Safinamide","Rising",1.4059667629227,0.00255489113941311,0.00255489113941311,"posi_aging",1.4059667629227,"Adipose Tissue",7,6.80420315238984e-06,90,0.13781512605042,0.00529411764705882,0.0583025210084034,17
"Zonisamide","Rising",0.933138736370929,0.679112008072654,0.679112008072654,"posi_aging",0.933138736370929,"Adipose Tissue",110,2.44818833562264e-05,11,0.0032620320855615,0.0855614973262032,0.0526417112299465,18
"Ibuprofen","Rising",1.40391418440724,0.000493469351549522,0.000493469351549522,"posi_aging",1.40391418440724,"Adipose Tissue",8,6.6480140650666e-06,92,0.119852941176471,0.00505115089514066,0.0509718670076726,19
"Dactinomycin","Rising",1.07581304974832,0.263736263736264,0.263736263736264,"posi_aging",1.07581304974832,"Adipose Tissue",62,2.33218684641784e-05,12,0.0103415559772296,0.0779411764705882,0.0509013282732448,20
"Probenecid","Rising",1.26093588500179,0.0288065843621399,0.0288065843621399,"posi_aging",1.26093588500179,"Adipose Tissue",19,1.76850952255603e-05,17,0.0470588235294118,0.0532871972318339,0.050795847750865,21
"Etomidate","Rising",1.39434609431123,0.00190966413301839,0.00190966413301839,"posi_aging",1.39434609431123,"Adipose Tissue",9,9.02075830358976e-06,57,0.105882352941176,0.0117647058823529,0.0494117647058823,22
"Felodipine","Rising",1.24603137154499,0.0336787564766839,0.0336787564766839,"posi_aging",1.24603137154499,"Adipose Tissue",22,1.67187348431563e-05,19,0.0398395721925134,0.0470588235294118,0.0441711229946524,23
"Daunorubicin","Rising",0.781751780470662,0.969030969030969,0.969030969030969,"posi_aging",0.781751780470662,"Adipose Tissue",158,2.33218684641784e-05,13,0.000483991064780343,0.0714932126696833,0.0430895240277221,24
"Pargyline","Rising",-1.38318735366528,0.00261458012464242,0.00261458012464242,"anti_aging",1.38318735366528,"Adipose Tissue",11,7.01513634448535e-06,82,0.0855614973262032,0.0063845050215208,0.0380553019433938,25
"Cladribine","Rising",-0.993637705796465,0.488695652173913,0.488695652173913,"anti_aging",0.993637705796465,"Adipose Tissue",86,1.79162595632793e-05,16,0.00581395348837209,0.0569852941176471,0.0365167578659371,26
