"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Pazopanib","Declining",1.94197859727224,0.00011308960985187,0.00022617921970374,"anti_aging",1.94197859727224,"Adrenal Gland",1,0.000137736020225252,35,1,0.0152641878669276,0.409158512720157,1
"Dasatinib","Declining",1.50352188501222,0.0231189021435138,0.0462378042870275,"anti_aging",1.50352188501222,"Adrenal Gland",10,0.00136362637465853,2,0.0876712328767123,0.493150684931507,0.330958904109589,2
"Dexketoprofen","Rising",1.88783575628034,0.000227372568619467,0.000454745137238934,"anti_aging",1.88783575628034,"Adrenal Gland",2,0.000221778518071317,16,0.493150684931507,0.0496575342465753,0.227054794520548,3
"Dantrolene","Rising",-1.63697657617962,0.00429816210037287,0.00859632420074574,"anti_aging",1.63697657617962,"Adrenal Gland",4,0.000241910401185268,5,0.23972602739726,0.189041095890411,0.209315068493151,4
"Caffeine","Rising",-0.821574958785367,0.777653631284916,0.800228310502283,"anti_aging",0.821574958785367,"Adrenal Gland",71,0.000256999389805742,3,0.000578815357900829,0.324200913242009,0.194752074088366,5
"Tetracaine","Declining",1.16576539775151,0.212189616252822,0.212189616252822,"anti_aging",1.16576539775151,"Adrenal Gland",36,0.000245903649011752,4,0.0144596651445966,0.23972602739726,0.149619482496195,6
"Regorafenib","Declining",1.67270629216382,0.00755797518315921,0.0151159503663184,"anti_aging",1.67270629216382,"Adrenal Gland",3,1.16317937342355e-05,73,0.324200913242009,0.000187652467629948,0.129792956777382,7
"Sulfasalazine","Declining",-0.724293358534539,0.870392390011891,0.953542392566783,"anti_aging",0.724293358534539,"Adrenal Gland",74,0.000234858613613945,6,0,0.155251141552511,0.0931506849315068,8
"Tolmetin","Rising",-1.5918937523571,0.00669356824552116,0.0133871364910423,"anti_aging",1.5918937523571,"Adrenal Gland",5,0.000221778518071317,28,0.189041095890411,0.0225048923679061,0.089119373776908,9
"Ibuprofen","Rising",0.903757879620866,0.664406779661017,0.755255255255255,"posi_aging",0.903757879620866,"Adrenal Gland",65,0.000232517262159073,7,0.00189673340358272,0.131115459882583,0.079427969290983,10
"Icosapent","Rising",1.2830124666917,0.105781057810578,0.211562115621156,"posi_aging",1.2830124666917,"Adrenal Gland",20,0.000231919592118134,9,0.036986301369863,0.0989345509893455,0.0741552511415525,11
"Donepezil","Rising",-1.56536002714324,0.00959492622829587,0.0191898524565917,"anti_aging",1.56536002714324,"Adrenal Gland",6,9.9384127655491e-05,37,0.155251141552511,0.0136986301369863,0.0703196347031964,12
