"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Spironolactone","Rising",1.17470639601815,0.166666666666667,0.166666666666667,"posi_aging",1.17470639601815,"Blood Vessel",58,0.000528121311105404,1,0.00447828034034931,1,0.60179131213614,1
"Everolimus","Declining",-2.18709860186626,1e-10,2e-10,"posi_aging",2.18709860186626,"Blood Vessel",1,1.45754662397643e-05,22,1,0.0330578512396694,0.419834710743802,2
"Amiodarone","Declining",-2.02658157518276,1e-10,2e-10,"posi_aging",2.02658157518276,"Blood Vessel",2,9.13609611882467e-06,39,0.493506493506493,0.012987012987013,0.205194805194805,3
"Finasteride","Rising",-1.21794562789794,0.0864926932293452,0.100737100737101,"anti_aging",1.21794562789794,"Blood Vessel",56,0.000514809306704759,3,0.00510204081632653,0.324675324675325,0.196846011131725,4
"Sirolimus","Declining",-1.9511909920404,6.97848233965277e-09,1.39569646793055e-08,"posi_aging",1.9511909920404,"Blood Vessel",3,1.45754662397643e-05,23,0.324675324675325,0.031055900621118,0.148503670242801,5
"Dutasteride","Rising",-1.02258011570238,0.42962962962963,0.859259259259259,"anti_aging",1.02258011570238,"Blood Vessel",74,0.000499365027578815,4,0.000702000702000703,0.24025974025974,0.144436644436644,6
"Levonorgestrel","Declining",0.887834603825803,0.762637362637363,0.884109916367981,"anti_aging",0.887834603825803,"Blood Vessel",77,0.000490250225846567,5,0.000168662506324845,0.18961038961039,0.113833698768764,7
"Norgestrel","Declining",-1.66218048970486,1.96788626006681e-05,3.93577252013362e-05,"anti_aging",1.66218048970486,"Blood Vessel",22,0.000488724047674348,6,0.0330578512396694,0.155844155844156,0.106729634002361,8
"Dronedarone","Rising",1.93180383368922,2.11903022212205e-06,4.23806044424411e-06,"posi_aging",1.93180383368922,"Blood Vessel",4,9.17366790510263e-06,38,0.24025974025974,0.0136705399863295,0.104306220095694,9
"Dalfampridine","Rising",1.89802198389076,1.83657898280757e-05,3.67315796561514e-05,"posi_aging",1.89802198389076,"Blood Vessel",7,3.21801162303808e-05,16,0.131725417439703,0.0503246753246753,0.0828849721706864,10
"Ampicillin","Rising",-1.09280860527014,0.275042444821732,0.275042444821732,"anti_aging",1.09280860527014,"Blood Vessel",70,0.000254027168800051,7,0.00148423005565863,0.131725417439703,0.0796289424860853,11
"Toremifene","Declining",-1.91764783567686,1.03439703639956e-09,2.06879407279913e-09,"posi_aging",1.91764783567686,"Blood Vessel",5,1.11558811022172e-06,77,0.18961038961039,0.000168662506324845,0.0759453533479507,12
"Benzylpenicillin","Rising",1.15351420258707,0.1875,0.375,"anti_aging",1.15351420258707,"Blood Vessel",64,0.000252246914744636,8,0.00284090909090909,0.113636363636364,0.0693181818181818,13
"Caffeine","Rising",-1.52886903849378,0.00100041856869548,0.00100041856869548,"anti_aging",1.52886903849378,"Blood Vessel",34,0.00010876369741259,9,0.0168067226890756,0.0995670995670996,0.06646294881589,14
"Tamoxifen","Rising",1.89906089135431,2.38500539524731e-06,4.77001079049461e-06,"posi_aging",1.89906089135431,"Blood Vessel",6,2.59862910426574e-06,58,0.155844155844156,0.00447828034034931,0.0650246305418719,15
"Cladribine","Rising",-1.58439994887251,0.00164139654797472,0.00328279309594943,"anti_aging",1.58439994887251,"Blood Vessel",28,9.2543432805676e-05,10,0.023191094619666,0.0883116883116883,0.0622634508348794,16
"Miconazole","Rising",1.55907720556782,0.00043124203630842,0.00043124203630842,"posi_aging",1.55907720556782,"Blood Vessel",31,8.98710758419875e-05,11,0.0196899874319229,0.0791027154663518,0.0553376242525803,17
"Dasatinib","Declining",-1.68104029389375,4.08291773184556e-06,8.16583546369113e-06,"posi_aging",1.68104029389375,"Blood Vessel",19,4.01442599964065e-05,14,0.0403280929596719,0.0593692022263451,0.0517527585196758,18
"Progesterone","Declining",-1.86871229130067,1.96353782808642e-07,3.92707565617283e-07,"posi_aging",1.86871229130067,"Blood Vessel",8,4.63621639865724e-06,49,0.113636363636364,0.00768619135966075,0.0500662602703419,19
"Cyanocobalamin","Rising",1.29926923949094,0.0655367231638418,0.131073446327684,"anti_aging",1.29926923949094,"Blood Vessel",51,6.64048828540397e-05,12,0.00687547746371276,0.0714285714285714,0.045607333842628,20
"Mitotane","Declining",-1.86103781808858,3.54560110810841e-09,7.09120221621682e-09,"posi_aging",1.86103781808858,"Blood Vessel",9,2.8117614064101e-06,54,0.0995670995670996,0.00577200577200577,0.0432900432900433,21
