"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Glucosamine","Declining",2.05365466769467,1e-10,2e-10,"anti_aging",2.05365466769467,"Blood",1,9.22079926460674e-06,85,1,0.00633484162895928,0.403800904977376,1
"Spironolactone","Rising",-1.1153958903643,0.145077720207254,0.290155440414508,"anti_aging",1.1153958903643,"Blood",148,0.000173068963662646,2,0.0012993762993763,0.497252747252747,0.298871398871399,2
"Prazosin","Declining",1.9569711110894,1e-10,2e-10,"anti_aging",1.9569711110894,"Blood",2,1.15612512975336e-05,72,0.497252747252747,0.00847069597069597,0.203983516483517,3
"Finasteride","Declining",1.17998429735521,0.0994219653179191,0.143031784841076,"anti_aging",1.17998429735521,"Blood",140,0.000151855237486292,3,0.00168759811616954,0.32967032967033,0.198477237048666,4
"Dutasteride","Declining",1.00871447700925,0.470833333333333,0.66,"anti_aging",1.00871447700925,"Blood",173,0.000147299580284606,4,0.000317601473670838,0.245879120879121,0.147654513116941,5
"Verapamil","Declining",1.94680452874857,1e-10,2e-10,"anti_aging",1.94680452874857,"Blood",3,1.21191335029839e-05,55,0.32967032967033,0.0127872127872128,0.13954045954046,6
"Levonorgestrel","Rising",0.929370391020129,0.635632183908046,0.908227848101266,"anti_aging",0.929370391020129,"Blood",182,0.000144694264039432,5,3.01895906291515e-05,0.195604395604396,0.117374713198889,7
"Norgestrel","Declining",-1.63384191930261,3.59069355085516e-06,7.18138710171032e-06,"posi_aging",1.63384191930261,"Blood",23,0.000144161764427472,6,0.0382226469182991,0.162087912087912,0.112541806020067,8
"Etoricoxib","Declining",1.93301888737697,4.69811297662985e-10,9.39622595325971e-10,"anti_aging",1.93301888737697,"Blood",4,4.38325784640425e-06,154,0.245879120879121,0.00103467960610818,0.0989724561153133,9
"Hexachlorophene","Declining",0.965117496646924,0.564885496183206,0.997289972899729,"anti_aging",0.965117496646924,"Blood",179,0.00010357524460394,7,0.000122782245687274,0.138147566718995,0.0829376529296721,10
"Amlodipine","Declining",-1.93193231333505,1.81256067847846e-10,3.62512135695692e-10,"posi_aging",1.93193231333505,"Blood",5,8.21272268369355e-06,91,0.195604395604396,0.0055548846757638,0.0815746890472165,11
"Bumetanide","Rising",1.53614821418463,0.000747918256412091,0.00149583651282418,"posi_aging",1.53614821418463,"Blood",46,7.66797840828911e-05,8,0.0163640707118968,0.120192307692308,0.0786610129001433,12
"Torasemide","Rising",1.3005354020963,0.0215858867645721,0.0431717735291442,"anti_aging",1.3005354020963,"Blood",104,7.34281039647637e-05,9,0.00417371090448014,0.106227106227106,0.0654057480980558,13
"Estrone","Declining",1.86693095662243,1e-10,2e-10,"anti_aging",1.86693095662243,"Blood",6,7.06821413883193e-07,170,0.162087912087912,0.000420168067226891,0.065087265675501,14
"Chloroquine","Declining",1.06068459454966,0.23921568627451,0.47843137254902,"anti_aging",1.06068459454966,"Blood",163,4.58152882699276e-05,10,0.000674172453313558,0.0950549450549451,0.0573026360142925,15
"Acitretin","Declining",1.69900297340957,4.32935308966313e-08,8.65870617932626e-08,"anti_aging",1.69900297340957,"Blood",14,3.32890246959072e-05,18,0.0663265306122449,0.0503663003663004,0.0567503924646782,16
"Diflunisal","Declining",1.8507583128261,2.27103730306885e-09,4.5420746061377e-09,"anti_aging",1.8507583128261,"Blood",7,4.52797982500524e-06,143,0.138147566718995,0.00153692461384769,0.0561811814559067,17
"Alitretinoin","Declining",1.63842654586515,4.02170224356156e-06,8.04340448712313e-06,"anti_aging",1.63842654586515,"Blood",22,3.37934724816445e-05,15,0.0402097902097902,0.0615384615384615,0.053006993006993,18
"Diacerein","Declining",-1.07751860584483,0.199095022624434,0.398190045248869,"posi_aging",1.07751860584483,"Blood",160,4.40410250914076e-05,11,0.000789835164835165,0.0859140859140859,0.0518643856143856,19
"Fingolimod","Declining",-1.84708997841057,4.89507419418981e-10,9.79014838837961e-10,"posi_aging",1.84708997841057,"Blood",8,8.72572794774862e-06,89,0.120192307692308,0.00580318557846648,0.051558834424003,20
"Amiodarone","Declining",-1.84103084514132,1.49502278323783e-10,2.99004556647566e-10,"posi_aging",1.84103084514132,"Blood",9,1.26866673984999e-05,50,0.106227106227106,0.0146153846153846,0.0512600732600733,21
"Romidepsin","Declining",-1.80486980477243,1.13460106021263e-08,2.26920212042525e-08,"posi_aging",1.80486980477243,"Blood",10,1.93985134613331e-05,38,0.0950549450549451,0.0209658762290341,0.0506015037593985,22
"Tretinoin","Rising",-1.19940082576018,0.107740585774059,0.107740585774059,"anti_aging",1.19940082576018,"Blood",133,3.50450826481848e-05,12,0.00206560356936297,0.0782967032967033,0.0478042634057672,23
"Miconazole","Rising",1.3580929189792,0.00350683206401352,0.00350683206401352,"posi_aging",1.3580929189792,"Blood",95,3.49225440122627e-05,13,0.00508964719491035,0.0718512256973795,0.0451465942963919,24
"Bezafibrate","Declining",1.6491192282314,2.26086581905247e-08,4.52173163810495e-08,"anti_aging",1.6491192282314,"Blood",19,3.22363724433981e-05,22,0.0474262579525737,0.0402097902097902,0.0430963773069036,25
"Tazarotene","Declining",-1.64160040820972,1.32933393915205e-06,2.6586678783041e-06,"posi_aging",1.64160040820972,"Blood",20,3.20066150758516e-05,23,0.0447802197802198,0.0382226469182991,0.0408456760630674,26
"Celecoxib","Declining",1.09009932670187,0.23046357615894,0.460927152317881,"anti_aging",1.09009932670187,"Blood",156,3.39811452329566e-05,14,0.000950972104818258,0.0663265306122449,0.0401763072092742,27
"Adapalene","Rising",1.39168540264203,0.0125940840809572,0.0251881681619144,"posi_aging",1.39168540264203,"Blood",77,3.36371074712845e-05,16,0.00756386470672185,0.0573489010989011,0.0374348865420294,28
"Alprostadil","Rising",1.56704653344229,0.000610162204908884,0.00122032440981777,"posi_aging",1.56704653344229,"Blood",41,3.2512430437254e-05,19,0.0190297507370678,0.0474262579525737,0.0360676550663714,29
"Piretanide","Rising",1.76240975964787,3.74285407000741e-07,3.74285407000741e-07,"posi_aging",1.76240975964787,"Blood",11,9.79369354493592e-07,160,0.0859140859140859,0.000789835164835165,0.0348395354645355,30
