"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Rotigotine","Rising",-1.84990992301408,1.36886596894858e-05,1.36886596894858e-05,"anti_aging",1.84990992301408,"Brain",1,3.59318455592147e-06,125,1,0.00275132275132275,0.401650793650794,1
"Menadione","Rising",1.55682572999763,0.00322312932059163,0.00322312932059163,"posi_aging",1.55682572999763,"Brain",11,7.4892457658525e-05,2,0.086073500967118,0.497354497354497,0.332842098799546,2
"Mianserin","Rising",-1.79250826074797,9.76711897065779e-05,9.76711897065779e-05,"anti_aging",1.79250826074797,"Brain",2,2.01259154604397e-06,179,0.497340425531915,0.000325145576542225,0.199131257558691,3
"Levetiracetam","Rising",-0.961407506865872,0.515789473684211,0.515789473684211,"anti_aging",0.961407506865872,"Brain",144,6.45956179039283e-05,3,0.00166223404255319,0.329805996472663,0.198548491500619,4
"Brivudine","Rising",-1.05539697788651,0.318541996830428,0.318541996830428,"anti_aging",1.05539697788651,"Brain",114,6.36304124061242e-05,4,0.00349944008958567,0.246031746031746,0.149018823654882,5
"Doxazosin","Rising",1.67089878501631,0.000421276256607139,0.000421276256607139,"posi_aging",1.67089878501631,"Brain",3,8.00143198820546e-06,61,0.329787234042553,0.0111891751236014,0.138628398691182,6
"Spironolactone","Rising",0.876138705708664,0.734015345268542,0.734015345268542,"posi_aging",0.876138705708664,"Brain",165,6.23035746914994e-05,5,0.000773694390715668,0.195767195767196,0.117769795216604,7
"Cyanocobalamin","Rising",-1.21127774403064,0.100697198992024,0.100697198992024,"anti_aging",1.21127774403064,"Brain",74,4.89953553195413e-05,6,0.00826624496837263,0.162257495590829,0.100660995341846,8
"Halofantrine","Rising",-1.65992742735334,0.00042107705373046,0.00042107705373046,"anti_aging",1.65992742735334,"Brain",4,2.08544152357857e-06,175,0.246010638297872,0.000453514739229025,0.0986763641626864,9
"Dutasteride","Rising",-1.62734638823551,0.000682855209530361,0.000682855209530361,"anti_aging",1.62734638823551,"Brain",6,1.73660732521382e-05,26,0.162234042553191,0.0333740333740334,0.0849180370456966,10
"Zonisamide","Rising",-1.00434668353342,0.458333333333333,0.458333333333333,"anti_aging",1.00434668353342,"Brain",129,4.60821319049286e-05,7,0.0024740227610094,0.138321995464853,0.0839828063833153,11
"Terfenadine","Rising",1.65939060943878,0.000864769408925646,0.000864769408925646,"posi_aging",1.65939060943878,"Brain",5,2.13893800448785e-06,167,0.195744680851064,0.000728701327503723,0.0787350931369278,12
"Miconazole","Rising",1.04276897366129,0.418107833163784,0.418107833163784,"posi_aging",1.04276897366129,"Brain",116,4.36098509708551e-05,8,0.00334739545121057,0.12037037037037,0.0735611804027064,13
"Alprostadil","Rising",1.56461062958295,0.00209543966668093,0.00209543966668093,"posi_aging",1.56461062958295,"Brain",10,2.16234345816662e-05,19,0.0952127659574468,0.0476190476190476,0.0666565349544073,14
"Ranolazine","Rising",1.55619420016925,0.00467471177665255,0.00467471177665255,"posi_aging",1.55619420016925,"Brain",12,2.34748684707218e-05,16,0.0784574468085106,0.0575396825396825,0.0659067882472138,15
"Ivabradine","Rising",-1.0600951257791,0.33695652173913,0.33695652173913,"anti_aging",1.0600951257791,"Brain",112,3.64300012208689e-05,9,0.00365691489361702,0.106407995296884,0.0653075631355773,16
"Doxapram","Rising",-1.60259022613904,0.000596756326571432,0.000596756326571432,"anti_aging",1.60259022613904,"Brain",7,7.47429463195588e-06,66,0.138297872340426,0.00994067660734328,0.0612835549005762,17
"Ezetimibe","Rising",1.18664951906579,0.164847161572052,0.164847161572052,"posi_aging",1.18664951906579,"Brain",79,3.42771093567997e-05,10,0.00740640991112308,0.0952380952380952,0.0601054211073064,18
"Hexylresorcinol","Rising",0.944477036761224,0.58732212160414,0.58732212160414,"posi_aging",0.944477036761224,"Brain",149,3.24123053835722e-05,11,0.00142795944595174,0.0860990860990861,0.0522306354378324,19
"Amcinonide","Rising",1.58193290390869,0.00157639950266577,0.00157639950266577,"posi_aging",1.58193290390869,"Brain",8,3.97197258147639e-06,109,0.120345744680851,0.00393184796854522,0.0504974066534676,20
"Phenytoin","Rising",0.787099995647944,0.930722891566265,0.930722891566265,"posi_aging",0.787099995647944,"Brain",180,2.61356882111075e-05,12,0.000265957446808511,0.0784832451499118,0.0471963300686705,21
"Lamotrigine","Rising",0.836702111216945,0.816753926701571,0.816753926701571,"posi_aging",0.836702111216945,"Brain",175,2.55638655959536e-05,13,0.000425531914893617,0.072039072039072,0.0433936559894007,22
"Dasatinib","Rising",1.57635856402231,0.00151201067690117,0.00151201067690117,"posi_aging",1.57635856402231,"Brain",9,7.05405504668435e-07,190,0.106382978723404,0,0.0425531914893617,23
"Benzthiazide","Rising",0.980786755971035,0.519438444924406,0.519438444924406,"posi_aging",0.980786755971035,"Brain",138,2.5421282529166e-05,14,0.00196577243293247,0.0665154950869237,0.0406956060253272,24
"Theophylline","Rising",-1.12687417199612,0.241176470588235,0.241176470588235,"anti_aging",1.12687417199612,"Brain",94,2.48987206424816e-05,15,0.00537573562698053,0.0617283950617284,0.0391873312878293,25
"Paclitaxel","Rising",1.53501058596026,0.00142413946491187,0.00142413946491187,"posi_aging",1.53501058596026,"Brain",13,1.01318747977676e-05,50,0.072013093289689,0.0148148148148148,0.0376941262047645,26
"Dinoprostone","Rising",0.900823239821336,0.678998911860718,0.678998911860718,"posi_aging",0.900823239821336,"Brain",159,2.22302444878065e-05,17,0.00100361300682457,0.0538437597261127,0.0327077010383974,27
"Miglitol","Rising",1.34332764148533,0.0386923721989305,0.0386923721989305,"posi_aging",1.34332764148533,"Brain",45,1.87446542481455e-05,21,0.0170212765957447,0.0425799949609473,0.0323565076148663,28
"Caffeine","Rising",-1.02673323818105,0.436382754994742,0.436382754994742,"anti_aging",1.02673323818105,"Brain",120,2.2185397188312e-05,18,0.00305851063829787,0.0505584950029394,0.0315585012570828,29
"Carfilzomib","Rising",1.27836454578112,0.0393541876892028,0.0393541876892028,"posi_aging",1.27836454578112,"Brain",61,1.96705824554335e-05,20,0.0111614928496686,0.044973544973545,0.0314487241239944,30
"Amrinone","Rising",-1.53363013428025,0.00367707244230143,0.00367707244230143,"anti_aging",1.53363013428025,"Brain",14,5.56873292182657e-06,85,0.0664893617021277,0.0065359477124183,0.030517313308302,31
"Dopamine","Rising",-1.48260310498257,0.00368852804908662,0.00368852804908662,"anti_aging",1.48260310498257,"Brain",19,1.06664503611812e-05,48,0.0475923852183651,0.015652557319224,0.0284284884788804,32
"Olaparib","Rising",1.51603863252749,0.00499680177773919,0.00499680177773919,"posi_aging",1.51603863252749,"Brain",15,4.55780629148371e-06,98,0.0617021276595745,0.00496706619155599,0.0276610907787634,33
"Lorazepam","Rising",1.43482958192818,0.0146265502908339,0.0146265502908339,"posi_aging",1.43482958192818,"Brain",22,1.2095922365868e-05,44,0.0403771760154739,0.0175565175565176,0.0266847809401001,34
"Rucaparib","Rising",-1.50920547984416,0.00600002126027841,0.00600002126027841,"anti_aging",1.50920547984416,"Brain",16,4.55780629148371e-06,99,0.0575132978723404,0.00486344930789375,0.0259233887336724,35
"Felodipine","Rising",-1.49792847815705,0.00283277182426698,0.00283277182426698,"anti_aging",1.49792847815705,"Brain",17,5.62733636386792e-06,82,0.0538172715894869,0.00696864111498258,0.0257080933047843,36
"Amoxapine","Rising",-1.38096611823606,0.016498615328517,0.016498615328517,"anti_aging",1.38096611823606,"Brain",34,1.60105888269453e-05,32,0.0242490613266583,0.0261243386243386,0.0253742277052665,37
"Finasteride","Rising",-1.15162211797733,0.16728624535316,0.16728624535316,"anti_aging",1.15162211797733,"Brain",86,1.79031682997408e-05,24,0.00637060860959921,0.0365961199294533,0.0245059154015116,38
"Tamoxifen","Rising",0.813050880506083,0.845170454545455,0.845170454545455,"posi_aging",0.813050880506083,"Brain",177,1.87177386367621e-05,22,0.000360620266858998,0.0404040404040404,0.0243866723491678,39
"Levonorgestrel","Rising",-1.30930661418751,0.027860471994453,0.027860471994453,"anti_aging",1.30930661418751,"Brain",52,1.71351150165279e-05,28,0.0140139116202946,0.0306122448979592,0.0239729115868933,40
"Diacerein","Rising",-0.949262111796646,0.605714285714286,0.605714285714286,"anti_aging",0.949262111796646,"Brain",148,1.83253030599427e-05,23,0.00147354801610121,0.0384172992868645,0.0236397987785592,41
