"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Lapatinib","Declining",2.43097302825998,1e-10,2e-10,"anti_aging",2.43097302825998,"Breast",1,2.23073115374809e-05,43,1,0.0137728606909009,0.408263716414541,1
"Furosemide","Rising",-1.29994202114518,0.061516452074392,0.123032904148784,"anti_aging",1.29994202114518,"Breast",54,0.000251436519353108,2,0.00898957209636821,0.495145631067961,0.300683207479324,2
"Bumetanide","Rising",-1.38264963589052,0.0172749295466997,0.0345498590933994,"anti_aging",1.38264963589052,"Breast",48,0.000245938872105772,3,0.0113268608414239,0.326860841423948,0.200647249190938,3
"Rofecoxib","Declining",1.94806981730742,1.40285307979981e-08,2.80570615959962e-08,"anti_aging",1.94806981730742,"Breast",2,1.27637325577417e-05,83,0.495145631067961,0.002456427652357,0.199532109018599,4
"Torasemide","Rising",-0.971505826259733,0.376356152909414,0.376356152909414,"anti_aging",0.971505826259733,"Breast",96,0.000235517722056139,4,0.000809061488673138,0.242718446601942,0.145954692556634,5
"Piroxicam","Declining",1.92484744043687,7.02261958236531e-08,1.40452391647306e-07,"anti_aging",1.92484744043687,"Breast",3,1.2609993275703e-05,95,0.326860841423948,0.000919775166070515,0.131296201669222,6
"Cladribine","Rising",-1.245784173622,0.0789473684210526,0.157894736842105,"anti_aging",1.245784173622,"Breast",62,0.000130001316125745,5,0.00657688694018165,0.192233009708738,0.117970560601315,7
"Adapalene","Rising",1.91395772264691,1.79406414822428e-06,3.58812829644857e-06,"posi_aging",1.91395772264691,"Breast",4,2.06329899005768e-05,51,0.242718446601942,0.0100894726822768,0.103141062250143,8
"Hydroflumethiazide","Rising",-1.14338099586462,0.153614457831325,0.227596017069701,"anti_aging",1.14338099586462,"Breast",82,0.000123613338811319,6,0.00260478332938669,0.158576051779935,0.0961875443997158,9
"Bisacodyl","Rising",-1.18058785093143,0.107023411371237,0.214046822742475,"anti_aging",1.18058785093143,"Breast",71,0.000113758005180286,7,0.00451251196499385,0.134535367545076,0.0825262253130433,10
"Piretanide","Declining",-1.49460281259375,0.000638064275246665,0.00127612855049333,"posi_aging",1.49460281259375,"Breast",32,0.000105872871383018,8,0.0218446601941748,0.116504854368932,0.0786407766990291,11
"Etodolac","Rising",-1.87827547099239,8.42248388762265e-06,1.68449677752453e-05,"anti_aging",1.87827547099239,"Breast",5,1.26784260715082e-05,84,0.192233009708738,0.00231160425335182,0.0782801664355063,12
"Dasatinib","Declining",1.61969693837735,0.00021026184812551,0.00042052369625102,"anti_aging",1.61969693837735,"Breast",21,9.0965193051273e-05,10,0.0383726306056403,0.0912621359223301,0.0701063337956542,13
"Dacarbazine","Rising",-1.75167074610985,0.000130288299778367,0.000260576599556733,"anti_aging",1.75167074610985,"Breast",10,5.34901676844683e-05,17,0.0912621359223301,0.0496858937749857,0.0663163906339235,14
"Diflunisal","Declining",1.80515022293937,9.63066261182634e-07,1.92613252236527e-06,"anti_aging",1.80515022293937,"Breast",6,1.2609993275703e-05,88,0.158576051779935,0.00176522506619594,0.0644895557516917,15
"Capsaicin","Rising",-1.25035792189563,0.0904684975767367,0.180936995153473,"anti_aging",1.25035792189563,"Breast",60,0.000105166955492675,9,0.00711974110032362,0.102481121898598,0.064336569579288,16
"Dalfampridine","Rising",1.76627401378469,0.000432103871453816,0.000864207742907632,"posi_aging",1.76627401378469,"Breast",8,3.33159297643505e-05,31,0.116504854368932,0.022862511744441,0.0603194487942374,17
"Dexketoprofen","Declining",-1.77068394727589,4.27310851491562e-06,8.54621702983124e-06,"posi_aging",1.77068394727589,"Breast",7,1.2609993275703e-05,86,0.134535367545076,0.0020320614134116,0.0550333838660775,18
"Bosutinib","Declining",1.29933652325439,0.037202380952381,0.0744047619047619,"anti_aging",1.29933652325439,"Breast",55,8.43365770104474e-05,11,0.0086496028243601,0.0820829655781112,0.0527096204766108,19
"Icosapent","Declining",-1.24110752611691,0.0362061536597036,0.0724123073194072,"posi_aging",1.24110752611691,"Breast",63,8.00862800987677e-05,12,0.00631838495916166,0.0744336569579288,0.0471875481584219,20
"Zonisamide","Declining",-1.76257677567047,4.20049472110948e-06,8.40098944221895e-06,"anti_aging",1.76257677567047,"Breast",9,1.83256555105768e-05,59,0.102481121898598,0.00740496955734737,0.0454354304938475,21
"Menadione","Rising",1.40324195136118,0.0240488785340384,0.0480977570680768,"posi_aging",1.40324195136118,"Breast",45,5.87406890190626e-05,14,0.0127292340884574,0.0624133148404993,0.0425396825396825,22
"Miconazole","Rising",0.725499790171956,0.937119675456389,0.937119675456389,"posi_aging",0.725499790171956,"Breast",103,7.48107539665839e-05,13,9.4259590913374e-05,0.0679611650485437,0.0408144028654916,23
"Melatonin","Rising",-1.42289605248249,0.0311506506805416,0.0623013013610831,"anti_aging",1.42289605248249,"Breast",40,5.76767894515062e-05,15,0.0155339805825243,0.0576051779935275,0.0407766990291262,24
"Rucaparib","Declining",1.73315084175164,7.07475061110616e-06,1.41495012222123e-05,"anti_aging",1.73315084175164,"Breast",12,1.99520569957521e-05,55,0.0744336569579288,0.0086496028243601,0.0349632244777876,25
"Diclofenac","Rising",-1.74753939090389,0.000166786322313518,0.000333572644627036,"anti_aging",1.74753939090389,"Breast",11,1.2609993275703e-05,87,0.0820829655781112,0.00189710969757839,0.0339714520497915,26
"Primaquine","Declining",1.11834385920945,0.183431952662722,0.366863905325444,"anti_aging",1.11834385920945,"Breast",88,5.74951112718476e-05,16,0.00176522506619594,0.0533980582524272,0.0327449249779347,27
"Ketotifen","Declining",-1.34824085528942,0.0175992060837945,0.035198412167589,"posi_aging",1.34824085528942,"Breast",51,5.11250136854724e-05,18,0.0100894726822768,0.04638619201726,0.0318675042832667,28
"Bortezomib","Declining",-1.69799953231741,2.38099378663601e-06,4.76198757327201e-06,"posi_aging",1.69799953231741,"Breast",13,1.83899888115375e-05,58,0.0679611650485437,0.00770003347840643,0.0318044861064613,29
"Ouabain","Rising",1.45628684668878,0.00857289544936595,0.00857289544936595,"posi_aging",1.45628684668878,"Breast",38,4.63803885210105e-05,20,0.0168625447112928,0.0407766990291262,0.0312110373019928,30
