"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Lorazepam","Declining",1.96622288127817,1.32224240926531e-06,1.32224240926531e-06,"anti_aging",1.96622288127817,"Colon",1,7.23852001485282e-06,102,1,0.00408024481468888,0.402448146888813,1
"Zonisamide","Declining",1.00308558885384,0.470588235294118,0.470588235294118,"anti_aging",1.00308558885384,"Colon",106,6.84811748054126e-05,2,0.00370814701712291,0.497109826589595,0.299749154760606,2
"Pazopanib","Declining",-1.86551017893833,4.05645499895951e-05,4.05645499895951e-05,"posi_aging",1.86551017893833,"Colon",2,1.82382256811157e-05,41,0.497109826589595,0.01875088115043,0.210094459326096,3
"Regorafenib","Declining",-0.990898353576715,0.441176470588235,0.441176470588235,"posi_aging",0.990898353576715,"Colon",110,5.6788386208323e-05,3,0.00336311087756174,0.329479768786127,0.199033105622701,4
"Dasatinib","Declining",-1.35382465209653,0.0178600715169445,0.0178600715169445,"posi_aging",1.35382465209653,"Colon",29,5.23124340598655e-05,4,0.0289017341040462,0.245664739884393,0.158959537572254,5
"Ranolazine","Declining",1.5229798266217,0.00582196340416337,0.00582196340416337,"anti_aging",1.5229798266217,"Colon",7,4.04072695923146e-05,6,0.137902559867878,0.161849710982659,0.152270850536746,6
"Pyrimethamine","Declining",1.74066667088257,0.000497851778262346,0.000497851778262346,"anti_aging",1.74066667088257,"Colon",3,2.07373234552014e-05,34,0.329479768786127,0.0238014280856851,0.146072764365862,7
"Topiramate","Declining",0.91485105870312,0.677333333333333,0.677333333333333,"anti_aging",0.91485105870312,"Colon",134,5.02442356695276e-05,5,0.00172547666292813,0.195375722543353,0.117915624191183,8
"Prednisone","Declining",1.60414554742944,0.00180683087869976,0.00180683087869976,"anti_aging",1.60414554742944,"Colon",4,3.19454787162347e-06,166,0.245664739884393,0.000278570931123338,0.0984330385124312,9
"Docetaxel","Declining",0.7509977324132,0.919614147909968,0.919614147909968,"anti_aging",0.7509977324132,"Colon",165,4.01355488219791e-05,7,0.000315291644771414,0.137902559867878,0.0828676525786353,10
"Celecoxib","Declining",1.59060909317782,0.00221514297001638,0.00221514297001638,"anti_aging",1.59060909317782,"Colon",5,5.47849020349235e-06,120,0.195375722543353,0.00260115606936416,0.0797109826589596,11
"Paclitaxel","Declining",1.04371923856851,0.402569593147752,0.402569593147752,"anti_aging",1.04371923856851,"Colon",94,4.01355488219791e-05,8,0.00491944410281638,0.119942196531792,0.0739330955602017,12
"Bifonazole","Declining",1.58051385912661,0.00484018205438877,0.00484018205438877,"anti_aging",1.58051385912661,"Colon",6,4.56305387741292e-06,148,0.161849710982659,0.00101546633338541,0.0653491641930948,13
"Acitretin","Declining",0.904772622096391,0.725274725274725,0.725274725274725,"anti_aging",0.904772622096391,"Colon",138,3.85198970732349e-05,9,0.00150791656195024,0.10597302504817,0.0641869816536818,14
"Tivozanib","Declining",-1.48907939681212,0.00571654489725561,0.00571654489725561,"posi_aging",1.48907939681212,"Colon",10,2.51317738921324e-05,22,0.0947976878612717,0.0399369416710457,0.0618812401471361,15
"Lamotrigine","Declining",1.17512654796719,0.142123287671233,0.142123287671233,"anti_aging",1.17512654796719,"Colon",58,3.41541112193888e-05,10,0.0115606936416185,0.0947976878612717,0.0615028901734104,16
"Dabrafenib","Declining",-1.43622912560933,0.0176940350171953,0.0176940350171953,"posi_aging",1.43622912560933,"Colon",15,3.05988675181829e-05,16,0.061271676300578,0.0570809248554913,0.058757225433526,17
"Vandetanib","Declining",1.4960746618005,0.00419388347250552,0.00419388347250552,"anti_aging",1.4960746618005,"Colon",8,1.62276806523952e-05,50,0.119942196531792,0.0143352601156069,0.0565780346820809,18
"Benzthiazide","Declining",1.17247109610785,0.180327868852459,0.180327868852459,"anti_aging",1.17247109610785,"Colon",59,3.41210462183058e-05,11,0.0112667777015773,0.0856542301629007,0.0558992491783714,19
"Tamoxifen","Declining",1.36335191922926,0.0384068278805121,0.0384068278805121,"anti_aging",1.36335191922926,"Colon",28,3.16773979449998e-05,15,0.0301403798513625,0.061271676300578,0.0488191577208918,20
"Cyanocobalamin","Declining",0.822131620357892,0.817116060961313,0.817116060961313,"anti_aging",0.822131620357892,"Colon",157,3.32808099135886e-05,12,0.000625897426457053,0.0780346820809248,0.0470711682191377,21
"Axitinib","Declining",-1.49123685703157,0.00473939617205492,0.00473939617205492,"posi_aging",1.49123685703157,"Colon",9,8.34826807924983e-06,86,0.10597302504817,0.00591477349106063,0.0459380741139042,22
"Acetazolamide","Declining",-1.00420208910207,0.467661691542289,0.467661691542289,"posi_aging",1.00420208910207,"Colon",105,3.32755599634058e-05,13,0.00379851362510322,0.0715873721654069,0.0444718287492854,23
"Hydroflumethiazide","Declining",1.14605058205559,0.21060382916053,0.21060382916053,"anti_aging",1.14605058205559,"Colon",67,3.29725544875291e-05,14,0.00923130014666552,0.0660611065235343,0.0433291839727868,24
"Aripiprazole","Declining",1.47964531314015,0.00528442449721037,0.00528442449721037,"anti_aging",1.47964531314015,"Colon",11,5.28526885474695e-06,123,0.0856542301629007,0.00239672916960384,0.0356997295669226,25
