"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Pseudoephedrine","Rising",1.6971662957315,3.72904634021265e-07,3.72904634021265e-07,"posi_aging",1.6971662957315,"Esophagus",1,5.47252082011749e-06,109,1,0.00111881852763482,0.400671291116581,1
"Bumetanide","Rising",1.60002221932153,8.28389180637802e-05,8.28389180637802e-05,"posi_aging",1.60002221932153,"Esophagus",5,8.70822770038373e-05,2,0.19349593495935,0.495934959349593,0.374959349593496,2
"Olaparib","Rising",1.65815702776893,5.22356311109458e-05,5.22356311109458e-05,"posi_aging",1.65815702776893,"Esophagus",2,1.824365364062e-05,23,0.495934959349593,0.0357016613644397,0.219794980558501,3
"Torasemide","Rising",1.07650588596475,0.299599198396794,0.299599198396794,"posi_aging",1.07650588596475,"Esophagus",73,8.34065690555291e-05,3,0.00567991981289676,0.327913279132791,0.199019935404834,4
"Theophylline","Rising",0.998493953247305,0.446280991735537,0.446280991735537,"posi_aging",0.998493953247305,"Esophagus",81,7.87713104638066e-05,4,0.00431596908561678,0.24390243902439,0.148067851048881,5
"Caffeine","Rising",-0.904384739867766,0.724899598393574,0.724899598393574,"anti_aging",0.904384739867766,"Esophagus",103,7.39200479091908e-05,5,0.00165758939142789,0.19349593495935,0.116760596732181,6
"Topiramate","Rising",-1.11974428203523,0.190611664295875,0.190611664295875,"anti_aging",1.11974428203523,"Esophagus",65,4.92109474439816e-05,6,0.00737961225766104,0.159891598915989,0.0988868042526579,7
"Dasatinib","Rising",1.60239297402224,0.000108696710521847,0.000108696710521847,"posi_aging",1.60239297402224,"Esophagus",4,1.50881087626932e-06,123,0.24390243902439,6.60982219578304e-05,0.0976006345429308,8
"Zonisamide","Rising",1.17030313833202,0.143756558237146,0.143756558237146,"posi_aging",1.17030313833202,"Esophagus",52,4.11994901334268e-05,7,0.0112570356472796,0.13588850174216,0.086035915304208,9
"Lamotrigine","Rising",-0.979749024792374,0.53804347826087,0.53804347826087,"anti_aging",0.979749024792374,"Esophagus",87,3.07425217974208e-05,8,0.00345762078310438,0.117886178861789,0.0721147556303149,10
"Biotin","Rising",1.37906920529399,0.0104786636222166,0.0104786636222166,"posi_aging",1.37906920529399,"Esophagus",18,2.90835330341177e-05,11,0.047877145438121,0.0835181079083518,0.0692617229202595,11
"Tetracaine","Rising",-1.40078086426906,0.00588543800861931,0.00588543800861931,"anti_aging",1.40078086426906,"Esophagus",14,2.50153543704759e-05,13,0.0638792102206736,0.0694183864915572,0.0672027159832038,12
"Sulfasalazine","Rising",-1.52171735812085,0.000218089729577777,0.000218089729577777,"anti_aging",1.52171735812085,"Esophagus",6,7.66611208012024e-06,75,0.159891598915989,0.00531165311653117,0.0671436314363144,13
