"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Oxymetholone","Rising",-1.71928920822891,0.000587910622417932,0.000587910622417932,"anti_aging",1.71928920822891,"Heart",1,3.89636008491174e-06,107,1,0.00341373328110135,0.402048239968661,1
"Hexylresorcinol","Rising",-0.803319211589517,0.904593639575972,0.904593639575972,"anti_aging",0.803319211589517,"Heart",154,8.24595456184563e-05,2,0.000544365813826892,0.497005988023952,0.298421339139902,2
"Mianserin","Rising",-1.71444946020222,0.000816050621249595,0.000816050621249595,"anti_aging",1.71444946020222,"Heart",2,1.71592670018081e-06,128,0.497005988023952,0.00187125748502994,0.199925149700599,3
"Menadione","Rising",0.973567779864108,0.538461538461538,0.538461538461538,"posi_aging",0.973567779864108,"Heart",111,5.08910283712361e-05,3,0.00307493121864379,0.329341317365269,0.198834762906619,4
"Tamoxifen","Rising",0.95211629593331,0.567489114658926,0.567489114658926,"posi_aging",0.95211629593331,"Heart",119,4.0687462141516e-05,4,0.00246565692145122,0.245508982035928,0.148291651990137,5
"Dalfampridine","Rising",1.7136922487227,0.00172840893449599,0.00172840893449599,"posi_aging",1.7136922487227,"Heart",3,8.99863668023984e-06,35,0.329341317365269,0.0227544910179641,0.145389221556886,6
"Bisacodyl","Rising",1.59831629865655,0.00361121243916958,0.00361121243916958,"posi_aging",1.59831629865655,"Heart",6,2.72635746617406e-05,10,0.161676646706587,0.0946107784431138,0.121437125748503,7
"Yohimbine","Rising",0.848326332615637,0.821917808219178,0.821917808219178,"posi_aging",0.848326332615637,"Heart",147,3.84157547958758e-05,5,0.000855431993156544,0.195209580838323,0.117467921300257,8
"Tetracaine","Rising",-1.70815554568506,0.000603839611102478,0.000603839611102478,"anti_aging",1.70815554568506,"Heart",4,6.69676034534604e-06,44,0.245508982035928,0.0168753402286336,0.108328796951551,9
"Amiloride","Rising",0.911911053672386,0.624796084828711,0.624796084828711,"posi_aging",0.911911053672386,"Heart",130,3.79726363150145e-05,6,0.00175034546292031,0.161676646706587,0.0977061262091202,10
