"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Trametinib","Declining",-2.35151532220594,1e-10,2e-10,"posi_aging",2.35151532220594,"Kidney",1,0.000142312388625586,10,1,0.0689655172413793,0.441379310344828,1
"Fingolimod","Declining",-1.56829568626981,0.000215128930731981,0.000430257861463962,"posi_aging",1.56829568626981,"Kidney",11,0.000329903533428554,2,0.0595611285266458,0.482758620689655,0.313479623824451,2
"Procaine","Rising",-1.96971335481235,3.9828202026251e-05,7.96564040525019e-05,"anti_aging",1.96971335481235,"Kidney",2,5.34267174616478e-05,15,0.482758620689655,0.0344827586206897,0.213793103448276,3
"Miconazole","Rising",1.44642837585137,0.0214780924638806,0.0214780924638806,"posi_aging",1.44642837585137,"Kidney",14,0.000214051555390499,3,0.0394088669950739,0.310344827586207,0.201970443349754,4
"Capsaicin","Declining",1.11181270603685,0.195121951219512,0.390243902439024,"anti_aging",1.11181270603685,"Kidney",27,0.000179342291404487,4,0.00383141762452107,0.224137931034483,0.136015325670498,5
"Ponatinib","Rising",1.92115167005064,6.97059305430337e-05,0.000139411861086067,"posi_aging",1.92115167005064,"Kidney",3,2.35026825454313e-06,26,0.310344827586207,0.00530503978779841,0.127320954907162,6
"Suvorexant","Rising",0.998763778251303,0.466552315608919,0.495798319327731,"posi_aging",0.998763778251303,"Kidney",30,0.000170961858477116,5,0,0.172413793103448,0.103448275862069,7
"Dasatinib","Declining",-1.34610148913816,0.00680125004733557,0.0136025000946711,"posi_aging",1.34610148913816,"Kidney",16,0.000165375032321607,6,0.0301724137931034,0.137931034482759,0.0948275862068965,8
"Selumetinib","Declining",-1.63184325302476,0.000148112373926839,0.000296224747853677,"anti_aging",1.63184325302476,"Kidney",7,0.000142312388625586,9,0.113300492610837,0.0804597701149425,0.0935960591133005,9
"Dalfampridine","Rising",1.8025743122724,0.00250151964617345,0.00500303929234691,"posi_aging",1.8025743122724,"Kidney",4,1.84371339538883e-06,27,0.224137931034483,0.00383141762452107,0.0919540229885058,10
"Lenalidomide","Rising",-1.57476899608491,0.0211966737325176,0.0423933474650352,"anti_aging",1.57476899608491,"Kidney",9,0.000144929966733802,8,0.0804597701149425,0.0948275862068966,0.0890804597701149,11
"Bosutinib","Rising",-1.17336319253372,0.191846522781775,0.383693045563549,"anti_aging",1.17336319253372,"Kidney",22,0.000147705564836459,7,0.0125391849529781,0.113300492610837,0.0729959695476937,12
"Rosuvastatin","Rising",1.64855580134368,0.00678979480435148,0.00678979480435148,"posi_aging",1.64855580134368,"Kidney",6,4.07622704307105e-05,22,0.137931034482759,0.0125391849529781,0.0626959247648903,13
"Tramadol","Rising",1.60678203669538,0.0126089429821127,0.0252178859642253,"posi_aging",1.60678203669538,"Kidney",8,2.87920587239888e-06,25,0.0948275862068966,0.00689655172413793,0.0420689655172414,14
"Clozapine","Rising",1.37079712210798,0.0663449939686369,0.132689987937274,"posi_aging",1.37079712210798,"Kidney",15,6.3252171670835e-05,13,0.0344827586206897,0.0450928381962865,0.0408488063660477,15
"Curcumin","Declining",1.23115840102313,0.0926517571884984,0.185303514376997,"anti_aging",1.23115840102313,"Kidney",20,6.4962540980864e-05,12,0.0172413793103448,0.0517241379310345,0.0379310344827586,16
"Troglitazone","Rising",1.11503913752733,0.277467411545624,0.542929292929293,"posi_aging",1.11503913752733,"Kidney",26,6.54816529063326e-05,11,0.00530503978779841,0.0595611285266458,0.0378586930311068,17
"Clomipramine","Rising",-1.32199004268685,0.0921348314606742,0.184269662921348,"anti_aging",1.32199004268685,"Kidney",17,6.30201570411314e-05,14,0.026369168356998,0.0394088669950739,0.0341929875398435,18
