"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Maprotiline","Declining",-3.18006232455942,1e-10,2e-10,"posi_aging",3.18006232455942,"Liver",1,3.30306073077526e-06,118,1,0.00207763805358119,0.401246582832149,1
"Ampicillin","Declining",-1.60989691690653,0.000140432703239091,0.000280865406478181,"posi_aging",1.60989691690653,"Liver",56,0.000266215874969327,2,0.0115207373271889,0.496774193548387,0.302672811059908,2
"Trifluoperazine","Declining",-3.10098989320267,1e-10,2e-10,"posi_aging",3.10098989320267,"Liver",2,3.35770078560624e-06,112,0.496774193548387,0.00253456221198157,0.200230414746544,3
"Benzylpenicillin","Rising",0.840215745298526,0.718599033816425,0.718599033816425,"posi_aging",0.840215745298526,"Liver",151,0.000264315491792833,3,0.000213629566331981,0.329032258064516,0.197504806665242,4
"Dasatinib","Declining",-2.89877811063829,1e-10,2e-10,"posi_aging",2.89877811063829,"Liver",5,0.000154711777437019,6,0.194838709677419,0.161290322580645,0.174709677419355,5
"Cladribine","Declining",-1.05864637292502,0.299307958477509,0.598615916955017,"posi_aging",1.05864637292502,"Liver",126,0.000207087639759213,4,0.00153609831029186,0.245161290322581,0.147711213517665,6
"Simvastatin","Declining",-3.02495952731165,1e-10,2e-10,"posi_aging",3.02495952731165,"Liver",3,2.40480270937347e-05,61,0.329032258064516,0.0100475938656795,0.137641459545214,7
"Lonafarnib","Rising",1.01098056241602,0.451342281879195,0.796519410977242,"anti_aging",1.01098056241602,"Liver",141,0.000161715665708136,5,0.000686341798215511,0.194838709677419,0.117177762525738,8
"Tamoxifen","Declining",-2.77665596937415,1e-10,2e-10,"posi_aging",2.77665596937415,"Liver",8,9.43180335232932e-05,15,0.119354838709677,0.0606451612903226,0.0841290322580645,9
"Raloxifene","Declining",-1.02960918703791,0.408938547486034,0.45360824742268,"posi_aging",1.02960918703791,"Liver",134,0.000144769285494929,7,0.00105922002888782,0.137327188940092,0.0828200013756104,10
"Cyanocobalamin","Declining",-1.09133433540438,0.148660581772645,0.29732116354529,"posi_aging",1.09133433540438,"Liver",119,0.000127780894252911,8,0.0020059636757929,0.119354838709677,0.0724152886961236,11
"Atorvastatin","Declining",-2.89596581313453,1e-10,2e-10,"posi_aging",2.89596581313453,"Liver",6,2.40043733411667e-05,62,0.161290322580645,0.00978147762747138,0.0703850156087409,12
"Carvedilol","Declining",-2.6742240708242,1e-10,2e-10,"posi_aging",2.6742240708242,"Liver",9,7.62774546580341e-05,20,0.105376344086021,0.0438709677419355,0.0684731182795699,13
"Ivacaftor","Declining",-2.82985183897164,1e-10,2e-10,"posi_aging",2.82985183897164,"Liver",7,4.41550409854372e-05,36,0.137327188940092,0.021505376344086,0.0678341013824885,14
"Allopurinol","Declining",-1.1453239445986,0.164012738853503,0.328025477707006,"posi_aging",1.1453239445986,"Liver",105,0.00012057554003254,9,0.00313364055299539,0.105376344086021,0.0644792626728111,15
"Tipiracil","Declining",-1.95004050061475,1.25206325583635e-08,2.50412651167271e-08,"posi_aging",1.95004050061475,"Liver",36,0.00010992937538088,11,0.021505376344086,0.0850439882697947,0.0596285434995112,16
"Febuxostat","Declining",-1.23142706401464,0.0662251655629139,0.132450331125828,"posi_aging",1.23142706401464,"Liver",94,0.00012057554003254,10,0.00425531914893617,0.0941935483870968,0.0582182566918325,17
"Diacerein","Declining",-2.24546323446494,1e-10,2e-10,"posi_aging",2.24546323446494,"Liver",13,7.66699275615215e-05,18,0.0709677419354839,0.0494623655913978,0.0580645161290323,18
"Dronedarone","Declining",-2.24160690807348,1e-10,2e-10,"posi_aging",2.24160690807348,"Liver",14,7.63132955694618e-05,19,0.0654377880184332,0.0465195246179966,0.0540868299781712,19
"Celecoxib","Declining",1.36066359681505,0.0175337295968941,0.0350674591937882,"anti_aging",1.36066359681505,"Liver",83,0.000107400774572652,12,0.00567431014380101,0.0774193548387097,0.0487213369607462,20
"Ranolazine","Declining",-1.32821212531953,0.0259612578763367,0.0519225157526733,"anti_aging",1.32821212531953,"Liver",85,0.000106375693864892,13,0.00538899430740038,0.0709677419354839,0.0447362428842505,21
"Bosutinib","Declining",-1.98438747467603,8.69720508838253e-09,1.73944101767651e-08,"posi_aging",1.98438747467603,"Liver",31,8.03348836877566e-05,17,0.0260145681581686,0.0527514231499051,0.0420566811532105,22
"Gestrinone","Declining",2.44757505218884,1e-10,2e-10,"anti_aging",2.44757505218884,"Liver",10,1.18137224545618e-05,75,0.0941935483870968,0.00696774193548387,0.041858064516129,23
"Miconazole","Rising",1.0541109542338,0.426096997690531,0.426096997690531,"posi_aging",1.0541109542338,"Liver",127,0.000100237024457125,14,0.00147320294640589,0.0654377880184332,0.0398519539896223,24
