"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Lisuride","Declining",2.59942476781222,1e-10,2e-10,"anti_aging",2.59942476781222,"Lung",1,1.23942688366444e-05,58,1,0.00495689655172414,0.402974137931034,1
"Iloprost","Declining",1.58742209336146,0.00122193148005181,0.00244386296010362,"anti_aging",1.58742209336146,"Lung",30,0.000760963225740082,2,0.02125,0.49375,0.30475,2
"Sulpiride","Declining",-2.56655553200999,1e-10,2e-10,"posi_aging",2.56655553200999,"Lung",2,1.19527500283173e-05,65,0.49375,0.00307692307692308,0.199346153846154,3
"Treprostinil","Rising",0.978977291806181,0.491044776119403,0.805309734513274,"posi_aging",0.978977291806181,"Lung",78,0.000752615296337518,3,0.000480769230769231,0.325,0.195192307692308,4
"Phenylbutazone","Rising",1.55572094383286,0.0154805634781387,0.0309611269562774,"posi_aging",1.55572094383286,"Lung",33,0.000328389077725032,4,0.0181818181818182,0.240625,0.151647727272727,5
"Ropinirole","Declining",-2.49140832444486,1e-10,2e-10,"posi_aging",2.49140832444486,"Lung",3,1.21316990255164e-05,61,0.325,0.00409836065573771,0.132459016393443,6
"Vinblastine","Declining",-1.66836351223925,0.000162658271247975,0.000325316542495951,"posi_aging",1.66836351223925,"Lung",22,0.000223079077531854,5,0.0335227272727273,0.19,0.127409090909091,7
"Rucaparib","Declining",2.38962175057895,1e-10,2e-10,"anti_aging",2.38962175057895,"Lung",4,4.52012010425223e-05,35,0.240625,0.0164285714285714,0.106107142857143,8
"Felodipine","Declining",-1.63374958440473,0.000224202463810327,0.000448404927620654,"anti_aging",1.63374958440473,"Lung",25,0.000195027629541596,6,0.028,0.15625,0.10495,9
"Nicotinamide","Declining",2.38801666005507,1e-10,2e-10,"anti_aging",2.38801666005507,"Lung",5,4.55640770059e-05,33,0.19,0.0181818181818182,0.0869090909090909,10
"Rupatadine","Rising",1.33994390703595,0.0745501285347044,0.149100257069409,"anti_aging",1.33994390703595,"Lung",48,0.000166318777497551,7,0.00859375,0.132142857142857,0.0827232142857143,11
"Amitriptyline","Declining",2.120350434761,5.81602039501333e-09,1.16320407900267e-08,"anti_aging",2.120350434761,"Lung",7,5.25433919238264e-05,20,0.132142857142857,0.038125,0.0757321428571429,12
