"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Quetiapine","Declining",-1.72829837587822,3.86945410373074e-07,7.73890820746147e-07,"posi_aging",1.72829837587822,"Muscle",1,6.70352115851374e-06,89,1,0.00190799236803053,0.401144795420818,1
"Miconazole","Rising",1.01815193050355,0.444332998996991,0.444332998996991,"posi_aging",1.01815193050355,"Muscle",93,0.000122047815511439,2,0.0014201663623453,0.495283018867925,0.297737877865693,2
"Ezetimibe","Declining",-1.4651110859832,0.000221747035815371,0.000443494071630742,"posi_aging",1.4651110859832,"Muscle",5,0.000110900869929449,4,0.192452830188679,0.242924528301887,0.222735849056604,3
"Curcumin","Declining",1.62620170267324,3.81323920015928e-06,7.62647840031857e-06,"anti_aging",1.62620170267324,"Muscle",2,1.84030850551857e-05,35,0.495283018867925,0.0194070080862534,0.209757412398922,4
"Riboflavin","Declining",1.24129002910174,0.05,0.1,"anti_aging",1.24129002910174,"Muscle",39,0.000115026652047599,3,0.0164489598451863,0.327044025157233,0.202805999032414,5
"Tivozanib","Declining",-1.61924986453709,8.43731707521124e-06,1.68746341504225e-05,"posi_aging",1.61924986453709,"Muscle",3,8.80385663813075e-06,60,0.327044025157233,0.00738993710691824,0.135251572327044,6
"Perindopril","Rising",-1.14215018071114,0.194135490394338,0.194135490394338,"anti_aging",1.14215018071114,"Muscle",60,9.55231504023856e-05,5,0.00738993710691824,0.192452830188679,0.118427672955975,7
"Atorvastatin","Declining",-1.5518647893574,5.27405693394206e-05,0.000105481138678841,"posi_aging",1.5518647893574,"Muscle",4,1.90174356346959e-05,30,0.242924528301887,0.0242138364779874,0.111698113207547,8
"Tamoxifen","Declining",-1.12162287069496,0.137254901960784,0.274509803921569,"posi_aging",1.12162287069496,"Muscle",64,8.47791033645702e-05,6,0.00633844339622642,0.158805031446541,0.0978183962264151,9
"Melatonin","Rising",-1.36891352119382,0.0202070417669484,0.0404140835338969,"anti_aging",1.36891352119382,"Muscle",15,7.32846266449847e-05,8,0.0578616352201258,0.116745283018868,0.0931918238993711,10
"Menadione","Declining",1.16479288605155,0.134343434343434,0.268686868686869,"anti_aging",1.16479288605155,"Muscle",55,7.44968535400328e-05,7,0.00891938250428817,0.134770889487871,0.0844302866944376,11
"Dactinomycin","Rising",1.43072095890096,0.00235881961087301,0.00235881961087301,"posi_aging",1.43072095890096,"Muscle",6,8.8334316550717e-06,57,0.158805031446541,0.00827540549486925,0.0684872558755379,12
"Lonafarnib","Declining",1.39762523770568,0.00323943590229543,0.00647887180459087,"anti_aging",1.39762523770568,"Muscle",9,2.8666837686478e-05,19,0.10272536687631,0.0436941410129096,0.0673066313582699,13
"Primaquine","Declining",-1.03166042559992,0.339869281045752,0.679738562091503,"posi_aging",1.03166042559992,"Muscle",90,7.29173970379353e-05,9,0.00178197064989518,0.10272536687631,0.0623480083857442,14
"Diacerein","Declining",-1.31861573848541,0.0122669310007327,0.0245338620014654,"posi_aging",1.31861573848541,"Muscle",27,6.42310336147419e-05,11,0.0279524807826695,0.0823327615780446,0.0605806492598946,15
"Caffeine","Rising",-1.04637116460839,0.40020366598778,0.40020366598778,"anti_aging",1.04637116460839,"Muscle",86,6.48362542195999e-05,10,0.00230364194822291,0.0915094339622642,0.0558271171566477,16
"Remoxipride","Rising",1.42064993155889,0.0143278524041576,0.0194254732176617,"posi_aging",1.42064993155889,"Muscle",7,6.28375936778696e-06,103,0.134770889487871,0.000366367466568969,0.0541281762750896,17
"Felodipine","Rising",1.15991616226924,0.153295128939828,0.153295128939828,"posi_aging",1.15991616226924,"Muscle",57,5.20330645187291e-05,12,0.00827540549486925,0.074685534591195,0.0481214829526647,18
"Dasatinib","Declining",-1.38832102190993,0.00167546633742448,0.00335093267484897,"posi_aging",1.38832102190993,"Muscle",10,1.05253047785119e-05,44,0.0915094339622642,0.0135077186963979,0.0447084048027444,19
"Cyanocobalamin","Rising",1.35308267489572,0.0200998441651381,0.0401996883302761,"posi_aging",1.35308267489572,"Muscle",20,2.9334767733396e-05,18,0.0410377358490566,0.0466457023060797,0.0444025157232704,20
"Bepridil","Declining",1.22033825527768,0.0689170182841069,0.137834036568214,"anti_aging",1.22033825527768,"Muscle",40,4.47676338383255e-05,14,0.0158018867924528,0.0626684636118598,0.043921832884097,21
"Troglitazone","Declining",-1.07137700168806,0.240384615384615,0.305114638447972,"posi_aging",1.07137700168806,"Muscle",77,4.67154264039577e-05,13,0.00367556971330556,0.0682148040638607,0.0423991103236386,22
"Icosapent","Rising",1.26338409180761,0.0694896851248643,0.138979370249729,"anti_aging",1.26338409180761,"Muscle",31,3.58076195081309e-05,16,0.0231284236153378,0.0536556603773585,0.0414447656725502,23
"Nicotinamide","Rising",-1.2452285012986,0.0796943231441048,0.105038061886522,"anti_aging",1.2452285012986,"Muscle",37,3.08479975835941e-05,17,0.0178480367159612,0.0499445061043285,0.0371059183489816,24
"Nicardipine","Declining",-1.09569107659567,0.188405797101449,0.376811594202899,"posi_aging",1.09569107659567,"Muscle",73,4.44826080209136e-05,15,0.00439390023261825,0.0578616352201258,0.0364745412251228,25
"Tretinoin","Declining",1.33025214924806,0.00341110631578608,0.00682221263157216,"anti_aging",1.33025214924806,"Muscle",25,2.46291418325235e-05,21,0.0309433962264151,0.0386343216531896,0.0355579514824798,26
"Amiodarone","Declining",-1.37069083215394,0.00124249798249485,0.0024849959649897,"posi_aging",1.37069083215394,"Muscle",14,1.73781078482956e-05,38,0.0626684636118598,0.0171300893743793,0.0353454390693715,27
"Sorafenib","Declining",1.38095671104813,0.00556915215052917,0.0111383043010583,"anti_aging",1.38095671104813,"Muscle",12,8.68036796449336e-06,63,0.074685534591195,0.00658879904162923,0.0338274932614555,28
"Bromocriptine","Rising",1.38142090345204,0.0130791662878417,0.0130791662878417,"posi_aging",1.38142090345204,"Muscle",11,6.49887471148023e-06,93,0.0823327615780446,0.0014201663623453,0.033785204448625,29
"Methylprednisolone","Rising",1.38066023518521,0.0117432420644204,0.0230993396819575,"anti_aging",1.38066023518521,"Muscle",13,7.96239819126207e-06,73,0.0682148040638607,0.00439390023261825,0.0299222617651152,30
"Biotin","Rising",1.25951246788249,0.0593654042988741,0.118730808597748,"anti_aging",1.25951246788249,"Muscle",33,1.98323035012412e-05,25,0.0211549456832476,0.0309433962264151,0.0270280160091481,31
"Clozapine","Rising",1.19872573643278,0.0949432404540764,0.0949432404540764,"posi_aging",1.19872573643278,"Muscle",46,2.45157388160339e-05,22,0.0125102543068089,0.0364493996569468,0.0268737415168916,32
"Ixabepilone","Declining",1.26292639419118,0.0382244143033292,0.0764488286066584,"anti_aging",1.26292639419118,"Muscle",32,1.94381416505204e-05,26,0.0221108490566038,0.0293904208998549,0.0264785921625544,33
"Amiloride","Declining",-1.05724574883783,0.276712328767123,0.472727272727273,"posi_aging",1.05724574883783,"Muscle",82,2.55031040733948e-05,20,0.00287620800736309,0.0410377358490566,0.0257731247123792,34
"Levothyroxine","Rising",1.33052644747884,0.0338774333989661,0.0677548667979322,"anti_aging",1.33052644747884,"Muscle",24,1.64186184577496e-05,40,0.032625786163522,0.0158018867924528,0.0225314465408805,35
"Pseudoephedrine","Rising",1.36747356353852,0.00692689275737755,0.00692689275737755,"posi_aging",1.36747356353852,"Muscle",16,6.39723578464051e-06,98,0.0536556603773585,0.000866384289564882,0.0219820947246823,36
"Triamterene","Declining",1.04848247384184,0.282157676348548,0.564315352697095,"anti_aging",1.04848247384184,"Muscle",85,2.42279488606522e-05,23,0.00244173140954495,0.0344544708777687,0.0216493750904792,37
"Nintedanib","Declining",-1.34217596411078,0.00861584671973987,0.0172316934394797,"posi_aging",1.34217596411078,"Muscle",21,8.88249804357092e-06,56,0.0386343216531896,0.00859164420485175,0.0206087151841869,38
