"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Melatonin","Declining",1.08548454382266,0.188953488372093,0.377906976744186,"anti_aging",1.08548454382266,"Nerve",177,0.00149141331642679,1,0.0014541467019476,1,0.600581658680779,1
"Sulpiride","Declining",-1.78009167994219,2.80729450535656e-10,5.61458901071312e-10,"posi_aging",1.78009167994219,"Nerve",1,4.8101091270466e-06,216,1,0.000429754649163932,0.400257852789498,2
"Dasatinib","Rising",1.77729462401041,4.85212283713495e-07,9.70424567426991e-07,"posi_aging",1.77729462401041,"Nerve",2,3.728164240264e-05,26,0.49789029535865,0.0344044141512496,0.21979876663421,3
"Somatostatin","Declining",-1.21448369860402,0.00468155356401083,0.00936310712802167,"posi_aging",1.21448369860402,"Nerve",122,0.000203624396436011,3,0.00401189735076434,0.330520393811533,0.199916995227226,4
"Amitriptyline","Rising",-1.70937552317718,6.56356578906999e-07,1.312713157814e-06,"anti_aging",1.70937552317718,"Nerve",4,0.000128727576216153,7,0.246835443037975,0.139240506329114,0.182278481012658,5
"Pasireotide","Declining",-1.20276172218457,0.0286319670613465,0.0572639341226929,"posi_aging",1.20276172218457,"Nerve",125,0.000199959157078075,4,0.00381434599156118,0.246835443037975,0.149627004219409,6
"Hexylcaine","Declining",-1.71069383928768,2.08206879318591e-07,4.16413758637181e-07,"posi_aging",1.71069383928768,"Nerve",3,7.97937961700803e-06,156,0.330520393811533,0.00221789462295791,0.133538894298388,7
"Amlexanox","Rising",-1.28043260485764,0.0423412480367653,0.0634544704064935,"anti_aging",1.28043260485764,"Nerve",83,0.000199902472695032,5,0.00787961974480199,0.19662447257384,0.121126531442225,8
"Sertraline","Declining",-1.42256007450339,0.00134589183438314,0.00269178366876627,"anti_aging",1.42256007450339,"Nerve",42,0.000165326160338254,6,0.019690576652602,0.163150492264416,0.105766526019691,9
"Maprotiline","Rising",1.70089754477313,1.96980815206139e-08,1.96980815206139e-08,"posi_aging",1.70089754477313,"Nerve",5,5.24346894621077e-06,197,0.19662447257384,0.000878151170511255,0.0791766797318426,10
"Nortriptyline","Rising",1.36313138178554,0.00358187935797404,0.00358187935797404,"posi_aging",1.36313138178554,"Nerve",57,0.000118203653838532,8,0.0133984750906803,0.121308016877637,0.0781442001628544,11
"Estramustine","Rising",1.68886937493918,1.62702405586178e-07,1.62702405586178e-07,"posi_aging",1.68886937493918,"Nerve",6,2.51582453884275e-05,51,0.163150492264416,0.0154711673699015,0.0745428973277075,12
"Remoxipride","Declining",-1.50870929543964,1.49566884106534e-05,2.99133768213069e-05,"posi_aging",1.50870929543964,"Nerve",25,0.000115794181135607,10,0.0359493670886076,0.0962025316455696,0.0721012658227848,13
"Haloperidol","Declining",-1.2854301657422,0.0160510005589255,0.032102001117851,"posi_aging",1.2854301657422,"Nerve",81,0.000117158400391142,9,0.00817836120227119,0.107360525082044,0.0676876595301349,14
"Amiloride","Rising",1.33758447697373,0.0127255613128461,0.0254511226256922,"posi_aging",1.33758447697373,"Nerve",65,0.000113105178994476,11,0.0112301200908796,0.0870732642884542,0.0567360066094243,15
"Escitalopram","Rising",1.66883060603786,2.81837826788417e-06,5.63675653576834e-06,"posi_aging",1.66883060603786,"Nerve",7,5.33865667168947e-06,194,0.139240506329114,0.000956979424942364,0.056270390186611,16
"Methotrexate","Rising",1.649827160229,1.41963036097223e-05,1.41963036097223e-05,"posi_aging",1.649827160229,"Nerve",10,3.18583612276165e-05,35,0.0962025316455696,0.0244725738396624,0.0531645569620253,17
"Ciclopirox","Rising",1.65382565956564,1.09535166189561e-05,2.19070332379121e-05,"posi_aging",1.65382565956564,"Nerve",8,9.87524402645636e-06,127,0.121308016877637,0.00368783016047045,0.0507359048473371,18
"Naltrexone","Declining",-1.20486561009779,0.0330634293284177,0.0661268586568355,"posi_aging",1.20486561009779,"Nerve",124,0.000111865786362125,12,0.00387913434054716,0.0794655414908579,0.0492309786307336,19
"Pimavanserin","Declining",-1.15126301328049,0.124705882352941,0.249411764705882,"posi_aging",1.15126301328049,"Nerve",142,0.00011141451336531,13,0.00285255838830451,0.0730282375851996,0.0449579659064416,20
"Bazedoxifene","Declining",-1.65131961019323,2.94395621041162e-07,5.88791242082325e-07,"posi_aging",1.65131961019323,"Nerve",9,7.9207844585239e-06,158,0.107360525082044,0.00213640976339262,0.0442260558908532,21
"Noscapine","Declining",1.03891889429683,0.326086956521739,0.563157894736842,"anti_aging",1.03891889429683,"Nerve",195,0.000111111213562224,14,0.000930433841826247,0.0675105485232067,0.0408785026506545,22
"Zonisamide","Rising",1.46189432066108,0.000817738477805854,0.00163547695561171,"posi_aging",1.46189432066108,"Nerve",33,5.77834080390276e-05,19,0.0262114819076844,0.0486342438374417,0.0396651390655388,23
"Tamoxifen","Rising",1.64347731325856,8.2478539471355e-06,1.6495707894271e-05,"posi_aging",1.64347731325856,"Nerve",11,1.47367447042292e-05,87,0.0870732642884542,0.00732334254813522,0.0392233112442628,24
"Bumetanide","Declining",-1.52795328966175,1.69742021019393e-06,3.39484042038785e-06,"posi_aging",1.52795328966175,"Nerve",22,3.85001373698453e-05,24,0.0414269275028769,0.0376230661040788,0.039144610663598,25
"Topiramate","Rising",-1.36288075449455,0.00683812426231314,0.0136762485246263,"anti_aging",1.36288075449455,"Nerve",58,9.1461927189684e-05,17,0.013094718463553,0.0548523206751055,0.0381492797904845,26
"Triamterene","Rising",-0.987764206451119,0.478891820580475,0.945736434108527,"anti_aging",0.987764206451119,"Nerve",209,0.000107449920015965,15,0.000585468273676135,0.0627285513361463,0.0378713181111582,27
"Caffeine","Rising",-1.18395119776253,0.0763819095477387,0.0763819095477387,"anti_aging",1.18395119776253,"Nerve",134,9.41486588183466e-05,16,0.00327476541343913,0.0585443037974684,0.0364364884438567,28
"Raltitrexed","Rising",-1.54632827500701,0.000107312684326694,0.000214625368653388,"anti_aging",1.54632827500701,"Nerve",18,3.19274577470943e-05,34,0.0515705578996718,0.0253164556962025,0.0358180965775902,29
"Carvedilol","Rising",1.60664544492217,2.54544486692911e-05,5.09088973385822e-05,"posi_aging",1.60664544492217,"Nerve",13,1.35911121880994e-05,95,0.0730282375851996,0.006351321341328,0.0330220878388766,30
"Dinoprostone","Rising",1.55693684352532,1.77367815141419e-05,1.77367815141419e-05,"posi_aging",1.55693684352532,"Nerve",16,2.54089696047136e-05,50,0.0585443037974684,0.0158649789029536,0.0329367088607595,31
"Ketoconazole","Declining",-1.6264633290912,1.80842826474685e-06,3.61685652949371e-06,"posi_aging",1.6264633290912,"Nerve",12,5.20898681381928e-06,198,0.0794655414908579,0.000852405915697055,0.0322976601457614,32
