"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Doxorubicin","Declining",-2.31870643235237,1.74990693003866e-06,3.49981386007732e-06,"posi_aging",2.31870643235237,"Ovary",1,9.33825034658026e-05,25,1,0.0333333333333333,0.42,1
"Niacin","Declining",1.13114708329441,0.250580046403712,0.501160092807425,"anti_aging",1.13114708329441,"Ovary",123,0.000229174611681752,2,0.00124209575429088,0.496527777777778,0.298413504968383,2
"Phenytoin","Rising",-2.14489586057254,1e-10,2e-10,"anti_aging",2.14489586057254,"Ovary",2,0.000105130217796699,12,0.496527777777778,0.0769675925925926,0.244791666666667,3
"Pazopanib","Rising",1.38274197298464,0.00560629551560924,0.0112125910312185,"posi_aging",1.38274197298464,"Ovary",66,0.000173790122662568,3,0.00831228956228956,0.328703703703704,0.200547138047138,4
"Theophylline","Rising",-0.996186618598995,0.468571428571429,0.778846153846154,"anti_aging",0.996186618598995,"Ovary",138,0.0001549718691475,4,0.000352254428341385,0.244791666666667,0.147015901771337,5
"Dopamine","Rising",2.10054790895579,1e-10,2e-10,"anti_aging",2.10054790895579,"Ovary",3,1.16435212505017e-05,91,0.328703703703704,0.00412087912087912,0.133954008954009,6
"Diacerein","Declining",-1.40823981360323,0.0520138371378066,0.104027674275613,"anti_aging",1.40823981360323,"Ovary",56,0.000146876092156392,5,0.0110367063492063,0.194444444444444,0.121081349206349,7
"Nortriptyline","Declining",-2.03699052895363,5.55192682821131e-05,0.000111038536564226,"anti_aging",2.03699052895363,"Ovary",4,1.24843193035815e-05,75,0.244791666666667,0.00648148148148148,0.101805555555556,8
"Amoxapine","Rising",-1.19958056554289,0.0844444444444444,0.168888888888889,"anti_aging",1.19958056554289,"Ovary",103,0.000127880291064725,6,0.00283171521035599,0.16087962962963,0.0976604638619202,9
"Caffeine","Declining",1.40415430175006,0.0358696923168818,0.0717393846337636,"anti_aging",1.40415430175006,"Ovary",57,0.000123988757188355,7,0.0107212475633528,0.136904761904762,0.0864313561681983,10
"Thioridazine","Declining",-2.00235712058176,0.000127530557069433,0.000255061114138866,"posi_aging",2.00235712058176,"Ovary",5,3.73638915145933e-06,117,0.194444444444444,0.001661918328585,0.0787749287749288,11
"Suvorexant","Declining",-1.17117294020176,0.179425837320574,0.358851674641148,"posi_aging",1.17117294020176,"Ovary",110,0.000110974178974563,8,0.00220959595959596,0.118923611111111,0.0722380050505051,12
"Nicotinamide","Declining",2.00055043905425,0.000115563256893221,0.000231126513786442,"anti_aging",2.00055043905425,"Ovary",6,2.17223474277418e-05,63,0.16087962962963,0.00903880070546737,0.0697751322751323,13
"Pentobarbital","Declining",-1.68866482649381,0.00328801723230614,0.00657603446461227,"posi_aging",1.68866482649381,"Ovary",25,0.000105689352097773,10,0.0333333333333333,0.09375,0.0695833333333333,14
"Amitriptyline","Declining",1.976464865626,0.000188570509475311,0.000377141018950622,"anti_aging",1.976464865626,"Ovary",7,3.00888873985027e-05,41,0.136904761904762,0.0176151761517615,0.0653310104529617,15
"Lamotrigine","Rising",1.17346651608891,0.123417721518987,0.246835443037975,"posi_aging",1.17346651608891,"Ovary",108,0.000109918943505723,9,0.00237911522633745,0.104938271604938,0.0639146090534979,16
"Adapalene","Declining",-1.9003910065953,0.00139729431789472,0.00279458863578945,"posi_aging",1.9003910065953,"Ovary",10,9.71052366701584e-05,22,0.09375,0.0388257575757576,0.0607954545454546,17
"Primidone","Declining",1.28177094603882,0.100600600600601,0.201201201201201,"anti_aging",1.28177094603882,"Ovary",86,0.000105134706745678,11,0.00476421188630491,0.0845959595959596,0.0526632605120977,18
"Nintedanib","Declining",-1.92137279353027,0.000313828121235581,0.000627656242471162,"anti_aging",1.92137279353027,"Ovary",9,2.69755195955206e-05,44,0.104938271604938,0.0159406565656566,0.0515397025813693,19
"Phenoxybenzamine","Declining",1.97267264145174,0.000522663317436397,0.00104532663487279,"anti_aging",1.97267264145174,"Ovary",8,1.16801276308045e-05,89,0.118923611111111,0.00436953807740325,0.0501911672908864,20
"Etomidate","Rising",1.54781819353137,0.000410185584877319,0.000820371169754637,"posi_aging",1.54781819353137,"Ovary",36,0.000104373902540174,14,0.0210262345679012,0.0649801587301587,0.0473985890652557,21
"Propofol","Declining",1.31188713829489,0.0796703296703297,0.159340659340659,"anti_aging",1.31188713829489,"Ovary",78,0.000104450401920376,13,0.00596509971509971,0.0705128205128205,0.0446937321937322,22
"Tretinoin","Declining",1.71275884813666,0.00321157232404137,0.00642314464808275,"anti_aging",1.71275884813666,"Ovary",21,0.000101220077906458,20,0.041005291005291,0.0434027777777778,0.0424437830687831,23
"Tamoxifen","Declining",-1.79507271711574,0.000911075567263879,0.00182215113452776,"posi_aging",1.79507271711574,"Ovary",14,4.9713975727112e-05,35,0.0649801587301587,0.0218253968253968,0.0390873015873016,24
"Thalidomide","Declining",1.85703767723541,0.00065758799832289,0.00065758799832289,"anti_aging",1.85703767723541,"Ovary",12,2.49153923051504e-05,49,0.0769675925925926,0.0136054421768707,0.0389503023431595,25
"Tazarotene","Rising",-1.72522918517336,3.98085208543311e-06,7.96170417086622e-06,"anti_aging",1.72522918517336,"Ovary",20,9.40089585125045e-05,24,0.0434027777777778,0.0350115740740741,0.0383680555555556,26
"Clonazepam","Rising",1.11111778937291,0.227,0.454,"anti_aging",1.11111778937291,"Ovary",125,0.000104315110794161,15,0.00111111111111111,0.0601851851851852,0.0365555555555555,27
"Diazepam","Rising",-1.26678788215395,0.0395480225988701,0.0790960451977401,"anti_aging",1.26678788215395,"Ovary",88,0.000104264405824131,16,0.00449810606060606,0.0559895833333333,0.0353929924242424,28
"Miconazole","Declining",-1.86904913001672,0.000800804077130461,0.00160160815426092,"posi_aging",1.86904913001672,"Ovary",11,1.74390590222731e-06,145,0.0845959595959596,0,0.0338383838383838,29
"Flumazenil","Declining",1.1566350355039,0.232,0.464,"anti_aging",1.1566350355039,"Ovary",114,0.000104264405824131,17,0.00188840155945419,0.0522875816993464,0.0321279096433895,30
"Lorazepam","Declining",1.35123192488176,0.0785046728971963,0.157009345794393,"anti_aging",1.35123192488176,"Ovary",74,0.000104264405824131,18,0.00666291291291291,0.0489969135802469,0.0320633133133133,31
"Oxymetazoline","Declining",1.8325248628383,0.000770268908347485,0.00154053781669497,"anti_aging",1.8325248628383,"Ovary",13,1.18715513729217e-05,85,0.0705128205128205,0.00490196078431373,0.0311463046757164,32
"Sulfasalazine","Declining",1.69167724712705,0.00329404501172084,0.00658809002344168,"anti_aging",1.69167724712705,"Ovary",23,7.74130570404825e-05,30,0.0368357487922705,0.0266203703703704,0.0307065217391304,33
"Temazepam","Declining",-1.24409224690021,0.144670050761421,0.289340101522843,"posi_aging",1.24409224690021,"Ovary",96,0.000104264405824131,19,0.00354456018518518,0.0460526315789474,0.0290494030214425,34
"Flupentixol","Declining",-1.78517959020726,0.000751239388458767,0.00150247877691753,"posi_aging",1.78517959020726,"Ovary",15,1.45813238194948e-05,71,0.0601851851851852,0.00723787167449139,0.0284167970787689,35
"Alitretinoin","Rising",-1.19459829761443,0.1025,0.205,"anti_aging",1.19459829761443,"Ovary",106,9.76050753385663e-05,21,0.00255503144654088,0.041005291005291,0.025625187181791,36
"Zopiclone","Declining",1.77177913371672,0.0016738542368487,0.0033477084736974,"anti_aging",1.77177913371672,"Ovary",17,1.92958545237753e-05,69,0.0522875816993464,0.00764895330112721,0.0255044046604149,37
"Procaine","Rising",1.47638352362836,0.00112622084492964,0.00225244168985927,"posi_aging",1.47638352362836,"Ovary",43,8.34289800024501e-05,27,0.0164728682170543,0.0303497942386831,0.0247990238300316,38
"Imipramine","Declining",-1.78460827465031,0.000948072458334186,0.00189614491666837,"posi_aging",1.78460827465031,"Ovary",16,4.66825674848944e-06,104,0.0559895833333333,0.00273771367521368,0.0240384615384615,39
"Acitretin","Rising",-1.26401429576686,0.0408997955010225,0.081799591002045,"anti_aging",1.26401429576686,"Ovary",90,9.61480880042365e-05,23,0.00424382716049383,0.0368357487922705,0.0237989801395598,40
"Fluticasone","Declining",1.46104509562432,0.031942658280947,0.0638853165618941,"anti_aging",1.46104509562432,"Ovary",46,8.17773425706053e-05,28,0.014945652173913,0.0290178571428571,0.0233889751552795,41
"Tizanidine","Rising",-1.73347771616561,2.39971139602434e-06,4.79942279204869e-06,"anti_aging",1.73347771616561,"Ovary",19,1.16799957824876e-05,90,0.0460526315789474,0.00424382716049383,0.0209673489278752,42
"Trifluoperazine","Declining",-1.758277306459,0.00497935329249094,0.00995870658498189,"posi_aging",1.758277306459,"Ovary",18,3.6551378493022e-06,122,0.0489969135802469,0.0013091985428051,0.0203842845577818,43
"Gemfibrozil","Declining",1.19944090708494,0.176600441501104,0.176600441501104,"anti_aging",1.19944090708494,"Ovary",104,9.31623657418548e-05,26,0.00273771367521368,0.031784188034188,0.0201655982905983,44
"Zolpidem","Declining",1.70205430185689,0.0089233582736002,0.0156468344687125,"anti_aging",1.70205430185689,"Ovary",22,1.9119533055441e-05,70,0.0388257575757576,0.00744047619047619,0.0199945887445887,45
"Alvimopan","Declining",1.67275227398699,0.00927118724865336,0.0185423744973067,"anti_aging",1.67275227398699,"Ovary",29,2.48696973576814e-05,50,0.0277777777777778,0.0131944444444444,0.0190277777777778,46
"Troglitazone","Declining",-1.47775406637894,0.0663388621547513,0.132677724309503,"posi_aging",1.47775406637894,"Ovary",42,4.91024396939787e-05,37,0.0170304232804233,0.0202702702702703,0.0189743314743315,47
"Tadalafil","Declining",-1.38850495669103,0.0681318681318681,0.136263736263736,"posi_aging",1.38850495669103,"Ovary",65,7.20073255511459e-05,31,0.00854700854700855,0.0255376344086021,0.0187413840639647,48
"Bisacodyl","Declining",-1.29191977683917,0.0795755968169761,0.159151193633952,"posi_aging",1.29191977683917,"Ovary",84,7.88989952581e-05,29,0.00504298941798942,0.0277777777777778,0.0186838624338624,49
"Dasatinib","Declining",-1.41084151869295,0.0472518960972371,0.0945037921944741,"anti_aging",1.41084151869295,"Ovary",55,5.08914316645312e-05,34,0.0113636363636364,0.022671568627451,0.0181483957219251,50
"Paroxetine","Declining",-1.68993530078314,0.00471811890656871,0.00943623781313742,"anti_aging",1.68993530078314,"Ovary",24,1.32100811940891e-05,73,0.0350115740740741,0.00684931506849315,0.0181142186707255,51
"Aripiprazole","Declining",-1.4318748682922,0.0341574983888887,0.0683149967777775,"anti_aging",1.4318748682922,"Ovary",49,4.93188226099893e-05,36,0.0136054421768707,0.0210262345679012,0.018057917611489,52
"Menadione","Declining",-1.36705216686609,0.0797014713267064,0.159402942653413,"posi_aging",1.36705216686609,"Ovary",70,6.17925240369718e-05,32,0.00744047619047619,0.0245225694444444,0.0176897321428571,53
"Naloxone","Declining",1.29610857178638,0.0721563367737628,0.144312673547526,"anti_aging",1.29610857178638,"Ovary",81,5.18341672048137e-05,33,0.00548696844993141,0.0235690235690236,0.0163362015213867,54
"Pergolide","Declining",-1.60954754779692,0.00974120504755275,0.0194824100951055,"anti_aging",1.60954754779692,"Ovary",31,2.31195570520496e-05,60,0.0255376344086021,0.00983796296296296,0.0161178315412186,55
"Nalbuphine","Declining",-1.5364441453821,0.037401816768466,0.0748036335369319,"posi_aging",1.5364441453821,"Ovary",38,2.48696973576814e-05,51,0.0195540935672515,0.0127995642701525,0.0155013759889921,56
"Olanzapine","Declining",1.37513167721278,0.055341605018279,0.055341605018279,"anti_aging",1.37513167721278,"Ovary",68,3.58675683381294e-05,39,0.00786356209150327,0.0188746438746439,0.0144702111613876,57
"Dronedarone","Declining",-1.6663989684924,0.0032471086663341,0.0064942173326682,"anti_aging",1.6663989684924,"Ovary",30,1.21767340606452e-05,78,0.0266203703703704,0.00596509971509971,0.014227207977208,58
"Epinephrine","Rising",-1.68846855616745,5.49164896013142e-06,1.09832979202628e-05,"anti_aging",1.68846855616745,"Ovary",26,3.88814889873186e-06,111,0.031784188034188,0.00212712712712713,0.0139899514899515,59
"Naltrexone","Declining",-1.42731234430369,0.0409696500599355,0.081939300119871,"posi_aging",1.42731234430369,"Ovary",50,2.49914162898278e-05,48,0.0131944444444444,0.0140335648148148,0.0136979166666667,60
