"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Romidepsin","Declining",-2.04683732074649,5.97783469407592e-07,5.97783469407592e-07,"posi_aging",2.04683732074649,"Pancreas",1,1.28793113227069e-05,56,1,0.0125482625482625,0.407528957528958,1
"Sulfasalazine","Declining",-0.813826634635289,0.830290010741139,0.830290010741139,"posi_aging",0.813826634635289,"Pancreas",168,0.000263309041215118,2,0.000460405156537752,0.497297297297297,0.298562540440994,2
"Cyanocobalamin","Declining",1.04112756607212,0.375982042648709,0.375982042648709,"anti_aging",1.04112756607212,"Pancreas",99,8.82198031480703e-05,3,0.004631954908198,0.32972972972973,0.199690619801117,3
"Amsacrine","Declining",-1.94996383702697,4.79847426413368e-07,4.79847426413368e-07,"posi_aging",1.94996383702697,"Pancreas",2,2.29278573834626e-06,158,0.497237569060773,0.000957919945261717,0.199469779591466,4
"Procaine","Declining",1.10623151075592,0.234718826405868,0.234718826405868,"anti_aging",1.10623151075592,"Pancreas",79,5.30199523785374e-05,4,0.00720330093013497,0.245945945945946,0.150448887939622,5
"Carvedilol","Declining",-1.88489302015468,1.20734353914282e-05,1.20734353914282e-05,"posi_aging",1.88489302015468,"Pancreas",4,3.3585544004277e-05,13,0.24585635359116,0.0719334719334719,0.141502624596547,6
"Tioconazole","Declining",-1.90114071867231,5.32674494248889e-06,5.32674494248889e-06,"posi_aging",1.90114071867231,"Pancreas",3,7.69664858711461e-06,86,0.329650092081031,0.00628535512256442,0.135631249905951,7
"Icosapent","Declining",-0.913541084972536,0.737373737373737,0.737373737373737,"posi_aging",0.913541084972536,"Pancreas",141,5.19160484815836e-05,5,0.00160652012068493,0.195675675675676,0.118048013453679,8
"Tamoxifen","Declining",-1.14944794370657,0.150943396226415,0.150943396226415,"posi_aging",1.14944794370657,"Pancreas",66,5.13851358740558e-05,6,0.00971036330152352,0.162162162162162,0.101181442617907,9
"Miconazole","Declining",-1.41924622811994,0.00415385243026154,0.00415385243026154,"posi_aging",1.41924622811994,"Pancreas",23,5.09325818065038e-05,7,0.0381936103771319,0.138223938223938,0.0982118070852157,10
"Panobinostat","Declining",-1.77840728349954,5.99729760677847e-05,5.99729760677847e-05,"posi_aging",1.77840728349954,"Pancreas",7,2.01571578708037e-05,25,0.138121546961326,0.0348108108108108,0.0761351052710169,11
"Bumetanide","Declining",-1.13641818460469,0.182459750431108,0.182459750431108,"posi_aging",1.13641818460469,"Pancreas",71,5.0100572240134e-05,8,0.00863746011983503,0.12027027027027,0.0756171462100962,12
"Estramustine","Declining",-1.80230803008317,8.59895862150596e-06,8.59895862150596e-06,"posi_aging",1.80230803008317,"Pancreas",6,9.05214146029587e-06,75,0.162062615101289,0.008,0.0696250460405156,13
"Caffeine","Declining",-0.603993923438239,0.998959417273673,0.998959417273673,"posi_aging",0.603993923438239,"Pancreas",182,4.64606681038191e-05,9,0,0.106306306306306,0.0637837837837838,14
