"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Ampicillin","Rising",-1.4327118968415,0.0484739676840215,0.0969479353680431,"anti_aging",1.4327118968415,"Pituitary",2,0.00274609742526005,1,0.466666666666667,1,0.786666666666667,1
"Tivozanib","Rising",-1.61008457569166,0.0139226600743028,0.0278453201486057,"anti_aging",1.61008457569166,"Pituitary",1,6.49880028701991e-06,14,1,0.00952380952380952,0.405714285714286,2
"Benzylpenicillin","Rising",1.25463081275778,0.135555555555556,0.271111111111111,"anti_aging",1.25463081275778,"Pituitary",9,0.00272720197089896,2,0.0518518518518518,0.466666666666667,0.300740740740741,3
"Dicloxacillin","Rising",1.42790356825,0.0558269698007165,0.111653939601433,"posi_aging",1.42790356825,"Pituitary",3,5.10983288837375e-05,6,0.288888888888889,0.111111111111111,0.182222222222222,4
"Topiramate","Rising",1.34087869583438,0.0747663551401869,0.149532710280374,"posi_aging",1.34087869583438,"Pituitary",7,0.000928275808675647,4,0.0857142857142857,0.2,0.154285714285714,5
"Spironolactone","Rising",1.18689226144927,0.204379562043796,0.408759124087591,"anti_aging",1.18689226144927,"Pituitary",11,0.000684738782951665,5,0.0303030303030303,0.146666666666667,0.100121212121212,6
"Nafcillin","Declining",-1.3453913557885,0.0947368421052632,0.189473684210526,"posi_aging",1.3453913557885,"Pituitary",6,5.03318538135088e-05,7,0.111111111111111,0.0857142857142857,0.0958730158730159,7
"Ponatinib","Declining",1.41481829858059,0.0658307210031348,0.13166144200627,"anti_aging",1.41481829858059,"Pituitary",4,6.80689588610947e-06,13,0.2,0.0153846153846154,0.0892307692307693,8
"Cefdinir","Rising",1.29475336060318,0.106508875739645,0.21301775147929,"posi_aging",1.29475336060318,"Pituitary",8,2.47180165351327e-05,8,0.0666666666666667,0.0666666666666667,0.0666666666666667,9
"Vandetanib","Rising",1.40461182564846,0.0389552792202495,0.0779105584404991,"anti_aging",1.40461182564846,"Pituitary",5,5.82053943729509e-06,16,0.146666666666667,0,0.0586666666666667,10
"Probenecid","Declining",-1.21234099705278,0.181518151815182,0.363036303630363,"anti_aging",1.21234099705278,"Pituitary",10,2.21164060564271e-05,9,0.04,0.0518518518518518,0.0471111111111111,11
"Gemfibrozil","Declining",1.1478148905622,0.237986270022883,0.475972540045767,"anti_aging",1.1478148905622,"Pituitary",12,2.19420253026353e-05,10,0.0222222222222222,0.04,0.0328888888888889,12
"Cefotetan","Rising",1.12675448456172,0.238095238095238,0.476190476190476,"posi_aging",1.12675448456172,"Pituitary",13,1.60185499098552e-05,11,0.0153846153846154,0.0303030303030303,0.0243356643356643,13
"Regorafenib","Declining",0.957795147393711,0.537671232876712,0.701906412478336,"anti_aging",0.957795147393711,"Pituitary",15,7.67431377732353e-06,12,0.00444444444444444,0.0222222222222222,0.0151111111111111,14
"Ranolazine","Rising",0.957239226889682,0.526422764227642,0.55688622754491,"anti_aging",0.957239226889682,"Pituitary",16,6.26953717669818e-06,15,0,0.00444444444444444,0.00266666666666667,15
