"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Tamoxifen","Declining",1.69838547291674,0.00620306849832262,0.0124061369966452,"anti_aging",1.69838547291674,"Prostate",1,6.72054893136459e-05,7,1,0.126984126984127,0.476190476190476,1
"Amlexanox","Rising",1.48097331490104,8.76192734238779e-05,0.000175238546847756,"anti_aging",1.48097331490104,"Prostate",6,0.000240143088726171,2,0.151234567901235,0.490740740740741,0.354938271604938,2
"Pentobarbital","Declining",1.56392355524025,0.016443494586537,0.032886989173074,"anti_aging",1.56392355524025,"Prostate",2,1.7227504800263e-05,33,0.490740740740741,0.0123456790123457,0.203703703703704,3
"Raloxifene","Declining",-0.869142108551729,0.675378266850069,0.887265135699374,"anti_aging",0.869142108551729,"Prostate",53,0.000136396523902007,3,0.000698812019566737,0.320987654320988,0.192872117400419,4
"Mifepristone","Rising",1.55352410267868,1.20938663789739e-05,2.41877327579478e-05,"posi_aging",1.55352410267868,"Prostate",3,3.38953332748799e-05,17,0.320987654320988,0.0413943355119826,0.153231663035585,5
"Chloroquine","Rising",-1.13888671499378,0.145945945945946,0.291891891891892,"anti_aging",1.13888671499378,"Prostate",32,0.000126437428823869,4,0.0133101851851852,0.236111111111111,0.146990740740741,6
"Miconazole","Declining",0.592601989205669,0.96875,0.96875,"anti_aging",0.592601989205669,"Prostate",55,9.91785677136874e-05,5,0,0.185185185185185,0.111111111111111,7
"Dasatinib","Declining",1.5071829661458,0.0281900739638901,0.0361448716280839,"anti_aging",1.5071829661458,"Prostate",4,1.61283598584067e-05,42,0.236111111111111,0.00573192239858906,0.0978835978835979,8
"Carfilzomib","Declining",-0.898115615805652,0.707547169811321,1,"posi_aging",0.898115615805652,"Prostate",52,7.20288356136796e-05,6,0.00106837606837607,0.151234567901235,0.0911680911680911,9
"Panobinostat","Declining",1.48922066735018,0.0403458213256484,0.0403458213256484,"anti_aging",1.48922066735018,"Prostate",5,1.77910109774449e-05,28,0.185185185185185,0.0178571428571429,0.0847883597883598,10
"Tretinoin","Declining",-1.26212744826458,0.142487046632124,0.142487046632124,"posi_aging",1.26212744826458,"Prostate",22,6.19934221099353e-05,8,0.0277777777777778,0.108796296296296,0.0763888888888889,11
"Regorafenib","Declining",-1.45992886901444,0.0506080577557037,0.101216115511407,"anti_aging",1.45992886901444,"Prostate",7,2.83457558655144e-05,21,0.126984126984127,0.0299823633156966,0.0687830687830688,12
"Caffeine","Declining",-0.743208410805453,0.845323741007194,0.845323741007194,"posi_aging",0.743208410805453,"Prostate",54,6.07529830096466e-05,9,0.000342935528120713,0.0946502057613169,0.0569272976680384,13
"Acitretin","Rising",1.27128112508821,0.00237019176165917,0.00474038352331833,"posi_aging",1.27128112508821,"Prostate",20,5.88870224812188e-05,12,0.0324074074074074,0.066358024691358,0.0527777777777778,14
"Alitretinoin","Rising",0.962074912953948,0.611111111111111,0.681547619047619,"anti_aging",0.962074912953948,"Prostate",49,5.97793714398695e-05,10,0.00226757369614512,0.0833333333333333,0.050907029478458,15
"Adapalene","Rising",-1.11210056369559,0.184017964178831,0.368035928357662,"anti_aging",1.11210056369559,"Prostate",33,5.94708865941948e-05,11,0.0123456790123457,0.0740740740740741,0.0493827160493827,16
"Milnacipran","Rising",1.40459979985953,0.00239150791658404,0.00478301583316808,"posi_aging",1.40459979985953,"Prostate",8,1.69981256386325e-05,37,0.108796296296296,0.00900900900900901,0.0489239239239239,17
"Donepezil","Rising",-1.37601080648091,0.0015028031037728,0.0030056062075456,"anti_aging",1.37601080648091,"Prostate",9,1.74645106079498e-05,29,0.0946502057613169,0.016602809706258,0.0478217681282815,18
"Belinostat","Declining",1.36736107273351,0.0691318327974277,0.0691318327974277,"anti_aging",1.36736107273351,"Prostate",10,1.77910109774449e-05,27,0.0833333333333333,0.0192043895747599,0.0448559670781893,19
"Tazarotene","Rising",-1.19363979123583,0.0629067245119306,0.125813449023861,"anti_aging",1.19363979123583,"Prostate",28,5.75791644984557e-05,13,0.0178571428571429,0.0598290598290598,0.043040293040293,20
"Methyldopa","Declining",-1.31401686518857,0.119760479041916,0.239520958083832,"posi_aging",1.31401686518857,"Prostate",17,2.90673461635902e-05,19,0.0413943355119826,0.0350877192982456,0.0376103657837404,21
"Isotretinoin","Declining",-0.99070070975566,0.456026058631922,0.731681034482759,"posi_aging",0.99070070975566,"Prostate",46,5.64654651239952e-05,14,0.0036231884057971,0.0542328042328042,0.0339889579020014,22
"Gimeracil","Rising",-1.24350070770297,0.008684720311738,0.017369440623476,"anti_aging",1.24350070770297,"Prostate",24,3.09859949314036e-05,18,0.0239197530864198,0.0380658436213992,0.0324074074074074,23
"Midostaurin","Declining",1.29851003954469,0.127753303964758,0.255506607929515,"anti_aging",1.29851003954469,"Prostate",18,2.5541411367253e-05,22,0.0380658436213992,0.0277777777777778,0.0318930041152263,24
"Bisacodyl","Declining",-1.02541026713466,0.408060453400504,0.672371638141809,"posi_aging",1.02541026713466,"Prostate",43,3.92808638147151e-05,15,0.00516795865633075,0.0493827160493827,0.0316968130921619,25
"Dronedarone","Declining",1.3466363702159,0.0804248861911988,0.0804248861911988,"anti_aging",1.3466363702159,"Prostate",11,1.10216577532664e-05,49,0.0740740740740741,0.00226757369614512,0.0309901738473167,26
"Tipiracil","Rising",0.990363050972297,0.48202614379085,0.583143507972665,"posi_aging",0.990363050972297,"Prostate",47,3.40760456926635e-05,16,0.00315208825847124,0.0451388888888889,0.0283441686367218,27
"Ketamine","Declining",-1.33825639601858,0.0793928235558565,0.0793928235558565,"posi_aging",1.33825639601858,"Prostate",13,1.66827414200541e-05,40,0.0598290598290598,0.00694444444444445,0.0280982905982906,28
