"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Lapatinib","Declining",2.18781805415692,3.3494740369428e-08,6.69894807388559e-08,"anti_aging",2.18781805415692,"Salivary Gland",1,7.59476297844659e-05,35,1,0.0168674698795181,0.410120481927711,1
"Olaparib","Rising",1.71881747519717,0.00131490523286961,0.00262981046573923,"anti_aging",1.71881747519717,"Salivary Gland",6,0.000794435431892517,2,0.156626506024096,0.493975903614458,0.359036144578313,2
"Afatinib","Declining",2.13838496772849,5.10530177384398e-08,1.0210603547688e-07,"anti_aging",2.13838496772849,"Salivary Gland",2,7.7418523935752e-05,34,0.493975903614458,0.0177179305457123,0.20822111977321,3
"Rucaparib","Rising",-1.0561464912693,0.376590330788804,0.753180661577608,"anti_aging",1.0561464912693,"Salivary Gland",63,0.000794435431892517,3,0.00401606425702811,0.325301204819277,0.196787148594377,4
"Triamterene","Declining",1.72398505378439,0.000279754719410504,0.000559509438821007,"anti_aging",1.72398505378439,"Salivary Gland",5,0.000428458694240297,6,0.190361445783133,0.156626506024096,0.170120481927711,5
"Dipyridamole","Declining",1.53033567609361,0.00317044161871192,0.00634088323742384,"anti_aging",1.53033567609361,"Salivary Gland",11,0.000503254573736179,5,0.0799561883899233,0.190361445783133,0.146199342825849,6
"Amiloride","Rising",1.0462726433295,0.378657487091222,0.7024,"anti_aging",1.0462726433295,"Salivary Gland",65,0.000748320284987857,4,0.00352177942539388,0.240963855421687,0.14598702502317,7
"Piroxicam","Declining",1.83866192423641,6.45242541755172e-05,0.000129048508351034,"anti_aging",1.83866192423641,"Salivary Gland",3,4.60366030933426e-05,63,0.325301204819277,0.00401606425702811,0.132530120481928,8
"Oxaprozin","Declining",-1.81587571729539,0.000120824907533232,0.000241649815066464,"posi_aging",1.81587571729539,"Salivary Gland",4,4.60366030933426e-05,62,0.240963855421687,0.00427516517683638,0.0989506412747765,9
"Tretinoin","Rising",-0.845739717360773,0.744075829383886,0.922048997772829,"anti_aging",0.845739717360773,"Salivary Gland",82,0.000374823428545083,7,0.000293858360270351,0.132530120481928,0.0796356156332648,10
"Ketoconazole","Declining",1.71527517831815,0.00014245997476268,0.000284919949525359,"anti_aging",1.71527517831815,"Salivary Gland",7,0.000234720304011761,18,0.132530120481928,0.0441767068273092,0.0795180722891566,11
"Icosapent","Rising",1.45948192990891,0.0226071724841773,0.0226071724841773,"posi_aging",1.45948192990891,"Salivary Gland",19,0.000293494468538641,9,0.0412175015852885,0.100401606425703,0.0767279644895371,12
"Miconazole","Rising",1.24265362008614,0.134736842105263,0.192295807942134,"posi_aging",1.24265362008614,"Salivary Gland",40,0.000322158937544437,8,0.0132530120481928,0.114457831325301,0.0739759036144578,13
"Diazepam","Rising",1.6339543016127,0.00439070623237023,0.00878141246474047,"anti_aging",1.6339543016127,"Salivary Gland",8,9.10079697136997e-05,30,0.114457831325301,0.0216867469879518,0.0587951807228916,14
"Dalfampridine","Declining",1.06342181963863,0.338926174496644,0.383720930232558,"anti_aging",1.06342181963863,"Salivary Gland",62,0.000278001131515098,10,0.00427516517683638,0.0891566265060241,0.055204041974349,15
"Felodipine","Rising",1.10670710192853,0.290102389078498,0.580204778156997,"anti_aging",1.10670710192853,"Salivary Gland",55,0.000277694534815436,11,0.0063526834611172,0.0799561883899233,0.0505147864184009,16
"Troglitazone","Declining",1.39451958927315,0.0209767044341513,0.0419534088683026,"anti_aging",1.39451958927315,"Salivary Gland",24,0.000246519435718138,14,0.0301204819277108,0.0602409638554217,0.0481927710843373,17
"Halcinonide","Declining",1.56214273652443,0.00534748367709634,0.0106949673541927,"anti_aging",1.56214273652443,"Salivary Gland",10,6.89988507625995e-05,37,0.0891566265060241,0.0153044610875936,0.0448453272549658,18
"Nicardipine","Declining",0.921430601142789,0.633228840125392,0.90379746835443,"anti_aging",0.921430601142789,"Salivary Gland",80,0.000272921510540266,12,0.000602409638554218,0.072289156626506,0.0436144578313253,19
"Tenoxicam","Declining",-1.58584449473957,0.0051598913234414,0.0103197826468828,"posi_aging",1.58584449473957,"Salivary Gland",9,4.60366030933426e-05,65,0.100401606425703,0.00352177942539388,0.0422737102255175,20
"Caffeine","Declining",1.07913726887692,0.16947740334134,0.33895480668268,"anti_aging",1.07913726887692,"Salivary Gland",59,0.000260813320915832,13,0.00510516642842557,0.0658016682113068,0.0415230674981543,21
"Flumazenil","Declining",-1.52811904053143,0.00566244384038024,0.0113248876807605,"posi_aging",1.52811904053143,"Salivary Gland",12,9.10079697136997e-05,31,0.072289156626506,0.0205985231247571,0.0412747765254567,22
"Bepridil","Declining",1.04516749543449,0.4032,0.497422680412371,"anti_aging",1.04516749543449,"Salivary Gland",67,0.000246214701538447,15,0.00305700413594677,0.0554216867469879,0.0344758137025715,23
"Spironolactone","Rising",1.07300662804607,0.351664254703329,0.680272108843537,"anti_aging",1.07300662804607,"Salivary Gland",61,0.00024482622626047,16,0.00454276120876951,0.0512048192771084,0.0325399960497729,24
"Rosiglitazone","Declining",1.11732575738868,0.26193724420191,0.52387448840382,"anti_aging",1.11732575738868,"Salivary Gland",53,0.000240162663130257,17,0.0070470561491248,0.0474840538625089,0.0313092547771552,25
"Lorazepam","Declining",-1.46485933989452,0.00662246616668257,0.0132449323333651,"anti_aging",1.46485933989452,"Salivary Gland",18,9.10079697136997e-05,32,0.0441767068273092,0.019578313253012,0.0294176706827309,26
"Dabrafenib","Rising",1.26163112349489,0.108163265306122,0.216326530612245,"posi_aging",1.26163112349489,"Salivary Gland",37,0.000133915378740309,21,0.0153044610875936,0.036144578313253,0.0278085314229893,27
"Dasatinib","Rising",1.52624494309701,0.00999102759356686,0.0199820551871337,"anti_aging",1.52624494309701,"Salivary Gland",13,4.24955014338259e-06,84,0.0658016682113068,0,0.0263206672845227,28
"Dinoprostone","Rising",1.11265090653426,0.30034924330617,0.60069848661234,"posi_aging",1.11265090653426,"Salivary Gland",54,0.000171175793082253,20,0.00669344042838019,0.0385542168674699,0.025809906291834,29
"Diflunisal","Rising",-1.50975702782858,0.0156809439715183,0.0313618879430365,"anti_aging",1.50975702782858,"Salivary Gland",15,4.60366030933426e-05,56,0.0554216867469879,0.00602409638554217,0.0257831325301205,30
