"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Vinblastine","Rising",1.11698107410043,0.296388542963885,0.592777085927771,"anti_aging",1.11698107410043,"Skin",82,0.000680140320502761,1,0.00556555901129481,1,0.602226223604518,1
"Ropinirole","Declining",-1.80469241076581,0.0106784678988009,0.0213569357976017,"posi_aging",1.80469241076581,"Skin",1,2.5747501249104e-05,93,1,0.00411344446849968,0.4024680666811,2
"Ezetimibe","Declining",1.24253623269161,0.185333333333333,0.232057416267943,"anti_aging",1.24253623269161,"Skin",60,0.000493194244371047,2,0.0100671140939597,0.496644295302013,0.302013422818792,3
"Miconazole","Rising",1.476120450971,0.0128257687892452,0.0256515375784904,"anti_aging",1.476120450971,"Skin",22,0.000375423641190196,3,0.0390482001220256,0.328859060402685,0.212934716290421,4
"Loratadine","Declining",-1.8024895212628,0.00622925387426418,0.0124585077485284,"posi_aging",1.8024895212628,"Skin",2,3.23160727627657e-05,78,0.496644295302013,0.00619514713474445,0.202374806401652,5
"Amiodarone","Rising",1.291936831114,0.10752688172043,0.21505376344086,"anti_aging",1.291936831114,"Skin",48,0.000371289909926025,4,0.014261744966443,0.24496644295302,0.152684563758389,6
"Thioridazine","Declining",1.76248915287298,0.0102792906597033,0.0205585813194066,"anti_aging",1.76248915287298,"Skin",3,3.28754280725963e-05,68,0.328859060402685,0.00809317015396763,0.136399526253454,7
"Belinostat","Rising",1.31551157813949,0.0868263473053892,0.173652694610778,"anti_aging",1.31551157813949,"Skin",44,0.000351776127353062,5,0.0161683953630262,0.194630872483222,0.123245881635143,8
"Panobinostat","Rising",1.20693500204766,0.189750692520776,0.341576506955178,"anti_aging",1.20693500204766,"Skin",67,0.000351776127353062,6,0.00831413402784734,0.161073825503356,0.0999699489131524,9
"Hydroxyurea","Rising",-1.75154102737696,0.00136627675511975,0.0027325535102395,"anti_aging",1.75154102737696,"Skin",4,1.55997928131195e-06,143,0.24496644295302,0.000328530529872811,0.0981836954991318,10
"Romidepsin","Rising",1.43370295153252,0.0344827586206897,0.0689655172413793,"anti_aging",1.43370295153252,"Skin",30,0.000336508839723491,8,0.0268456375838926,0.119127516778523,0.0822147651006711,11
"Fludarabine","Declining",-1.60413066087463,0.0641411409365328,0.0641411409365328,"posi_aging",1.60413066087463,"Skin",13,0.000247185839363593,11,0.0707279297883325,0.0848078096400244,0.0791758576993476,12
"Escitalopram","Rising",1.73829981486081,0.00115454202949187,0.00230908405898373,"posi_aging",1.73829981486081,"Skin",5,1.87515664164163e-06,133,0.194630872483222,0.000857849321289801,0.0783670585860625,13
