"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Nintedanib","Declining",-1.82482354605989,2.75149432188591e-05,5.50298864377183e-05,"anti_aging",1.82482354605989,"Small Intestine",1,1.11626802371139e-06,45,1,0.00266666666666667,0.4016,1
"Miconazole","Declining",-1.66244643328411,0.00038800051660033,0.000776001033200661,"posi_aging",1.66244643328411,"Small Intestine",6,0.000432510169761786,2,0.15,0.49,0.354,2
"Amiodarone","Declining",-1.80654535641019,2.11082965115437e-05,4.22165930230874e-05,"posi_aging",1.80654535641019,"Small Intestine",2,1.30206869614929e-06,41,0.49,0.00487804878048781,0.198926829268293,3
"Carbetocin","Rising",0.971953861991016,0.505830903790087,0.979929161747344,"anti_aging",0.971953861991016,"Small Intestine",42,0.000325141189542629,3,0.00428571428571429,0.32,0.193714285714286,4
"Dalfampridine","Rising",-1.06144450197719,0.394863563402889,0.394863563402889,"anti_aging",1.06144450197719,"Small Intestine",41,0.000253042870539414,4,0.00487804878048781,0.235,0.142951219512195,5
"Dasatinib","Declining",-1.72496035476257,0.000173850737504777,0.000347701475009554,"posi_aging",1.72496035476257,"Small Intestine",3,1.56842064957173e-06,34,0.32,0.01,0.134,6
"Melatonin","Declining",1.07827846606532,0.29156010230179,0.583120204603581,"anti_aging",1.07827846606532,"Small Intestine",40,0.000237663629140801,5,0.0055,0.184,0.1126,7
"Tretinoin","Declining",1.6524975532922,0.000456102969902143,0.000912205939804286,"anti_aging",1.6524975532922,"Small Intestine",7,0.000114441723259197,9,0.125714285714286,0.0933333333333333,0.106285714285714,8
"Imipramine","Rising",1.70819203141056,0.00266083417889134,0.00532166835778268,"anti_aging",1.70819203141056,"Small Intestine",4,1.10024108817022e-06,48,0.235,0.00125,0.09475,9
"Dabrafenib","Declining",1.67214450866156,0.000614427107810881,0.00122885421562176,"anti_aging",1.67214450866156,"Small Intestine",5,7.60187833276709e-05,19,0.184,0.0336842105263158,0.0938105263157895,10
"Biotin","Rising",0.909673252159615,0.588541666666667,0.840300107181136,"anti_aging",0.909673252159615,"Small Intestine",46,0.00022484792061552,6,0.00217391304347826,0.15,0.0908695652173913,11
"Alitretinoin","Rising",-1.57751550410808,0.0358646062884991,0.0717292125769982,"anti_aging",1.57751550410808,"Small Intestine",9,0.000110354519084619,10,0.0933333333333333,0.082,0.0865333333333333,12
"Pemetrexed","Declining",0.931049281461978,0.600877192982456,0.943820224719101,"anti_aging",0.931049281461978,"Small Intestine",44,0.000170738512234137,7,0.00318181818181818,0.125714285714286,0.0767012987012987,13
"Chloroquine","Declining",-1.09108315981727,0.289719626168224,0.579439252336449,"anti_aging",1.09108315981727,"Small Intestine",39,0.00015292982580634,8,0.00615384615384615,0.1075,0.0669615384615385,14
"Adapalene","Rising",1.42107518113285,0.0709117221418234,0.141823444283647,"posi_aging",1.42107518113285,"Small Intestine",16,0.00010978467420144,11,0.04375,0.0727272727272727,0.0611363636363636,15
"Nelarabine","Declining",1.60693652340161,0.000729498056128357,0.00145899611225671,"anti_aging",1.60693652340161,"Small Intestine",8,1.2984373436692e-06,42,0.1075,0.00428571428571429,0.0455714285714286,16
"Bexarotene","Rising",-1.45942750617722,0.0637254901960784,0.127450980392157,"anti_aging",1.45942750617722,"Small Intestine",15,0.000105020154934959,16,0.048,0.04375,0.04545,17
"Methotrexate","Declining",-1.46356284356134,0.0061250747860292,0.0122501495720584,"posi_aging",1.46356284356134,"Small Intestine",14,7.64659108758037e-05,17,0.0528571428571429,0.04,0.0451428571428571,18
"Acitretin","Declining",1.24882002529053,0.0345275479098643,0.0690550958197287,"anti_aging",1.24882002529053,"Small Intestine",30,0.000108707216051625,12,0.014,0.065,0.0446,19
"Hydroxychloroquine","Rising",1.5669690726602,0.0433239924141489,0.0866479848282979,"anti_aging",1.5669690726602,"Small Intestine",10,1.71863410965439e-06,31,0.082,0.0129032258064516,0.040541935483871,20
"Rosiglitazone","Declining",1.29746532089897,0.077762619372442,0.155525238744884,"anti_aging",1.29746532089897,"Small Intestine",26,0.000106625310119972,14,0.0192307692307692,0.0528571428571429,0.0394065934065934,21
"Trimebutine","Declining",-1.55057392238586,0.00207200559198567,0.00414401118397135,"posi_aging",1.55057392238586,"Small Intestine",11,1.90825042426128e-06,29,0.0727272727272727,0.0151724137931034,0.0381943573667712,22
"Doconexent","Declining",1.13677828205589,0.156779661016949,0.313559322033898,"anti_aging",1.13677828205589,"Small Intestine",37,0.000107302842536403,13,0.00756756756756757,0.0584615384615385,0.0381039501039501,23
