"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Troglitazone","Rising",1.24111316741998,0.122082585278276,0.244165170556553,"posi_aging",1.24111316741998,"Spleen",11,0.000258831052633243,2,0.00826446280991736,0.454545454545455,0.27603305785124,1
"Netupitant","Declining",-2.50455043960819,4.82275023478207e-08,9.64550046956415e-08,"posi_aging",2.50455043960819,"Spleen",2,0.000157760824165255,7,0.454545454545455,0.0649350649350649,0.220779220779221,2
"Levocabastine","Rising",-1.27138358140254,0.0949464012251149,0.18989280245023,"anti_aging",1.27138358140254,"Spleen",10,0.000258816056123576,3,0.0181818181818182,0.272727272727273,0.170909090909091,3
"Tramadol","Declining",1.60666872303925,0.00667494874012219,0.0133498974802444,"anti_aging",1.60666872303925,"Spleen",6,0.000159273434316419,4,0.0909090909090909,0.181818181818182,0.145454545454545,4
"Dasatinib","Declining",-2.07441905675563,6.15975248820984e-05,0.000123195049764197,"anti_aging",2.07441905675563,"Spleen",3,5.33500026629099e-06,12,0.272727272727273,0,0.109090909090909,5
"Ketamine","Declining",1.41116372260889,0.0384615384615385,0.0769230769230769,"anti_aging",1.41116372260889,"Spleen",8,0.000159222525356088,5,0.0454545454545455,0.127272727272727,0.0945454545454546,6
"Conivaptan","Declining",-1.85463286769441,0.0019000433545868,0.00380008670917361,"anti_aging",1.85463286769441,"Spleen",4,6.72366646865569e-05,10,0.181818181818182,0.0181818181818182,0.0836363636363636,7
"Lypressin","Declining",1.8035184281301,0.00149574650485497,0.00299149300970993,"anti_aging",1.8035184281301,"Spleen",5,6.9316149154362e-05,9,0.127272727272727,0.0303030303030303,0.0690909090909091,8
"Aprepitant","Declining",-1.33252960972771,0.084433595729992,0.168867191459984,"anti_aging",1.33252960972771,"Spleen",9,0.000157760824165255,6,0.0303030303030303,0.0909090909090909,0.0666666666666667,9
"Carfilzomib","Declining",-1.47681143993534,0.0121149769311346,0.0242299538622692,"posi_aging",1.47681143993534,"Spleen",7,0.000131282042945741,8,0.0649350649350649,0.0454545454545455,0.0532467532467533,10
"Tolvaptan","Rising",-1.06178541412308,0.33890214797136,0.677804295942721,"anti_aging",1.06178541412308,"Spleen",12,6.72366646865569e-05,11,0,0.00826446280991736,0.00495867768595042,11
