"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Simvastatin","Declining",-2.36828230459677,1.69177981162843e-09,3.38355962325687e-09,"posi_aging",2.36828230459677,"Stomach",1,4.64786546620904e-05,24,1,0.00617283950617284,0.403703703703704,1
"Bisacodyl","Rising",1.69249493972906,0.00841400574832745,0.0168280114966549,"anti_aging",1.69249493972906,"Stomach",8,0.000220360298454366,2,0.0925925925925926,0.481481481481482,0.325925925925926,2
"Carfilzomib","Rising",1.44746567131624,0.043230944254835,0.043230944254835,"posi_aging",1.44746567131624,"Stomach",12,0.000138113363400038,3,0.0493827160493827,0.308641975308642,0.204938271604938,3
"Atorvastatin","Declining",-2.12454308004658,7.4477007699943e-07,1.48954015399886e-06,"posi_aging",2.12454308004658,"Stomach",2,4.62075173900857e-05,25,0.481481481481482,0.00444444444444445,0.195259259259259,4
"Rucaparib","Declining",2.00211773778456,8.29708520935396e-06,1.65941704187079e-05,"anti_aging",2.00211773778456,"Stomach",4,0.000110448530430609,6,0.222222222222222,0.135802469135802,0.17037037037037,5
"Bortezomib","Rising",1.52517234793497,0.0358467243510507,0.0716934487021014,"posi_aging",1.52517234793497,"Stomach",10,0.000129826561780491,4,0.0666666666666667,0.222222222222222,0.16,6
"Dasatinib","Declining",-2.10388037307634,1.78070404139938e-06,3.56140808279876e-06,"posi_aging",2.10388037307634,"Stomach",3,6.47733633115195e-05,14,0.308641975308642,0.037037037037037,0.145679012345679,7
"Olaparib","Declining",-1.41744065855944,0.0154427536858166,0.0308855073716333,"posi_aging",1.41744065855944,"Stomach",14,0.000110448530430609,5,0.037037037037037,0.17037037037037,0.117037037037037,8
"Capsaicin","Declining",1.36762888933237,0.0300377733981532,0.0600755467963064,"anti_aging",1.36762888933237,"Stomach",15,0.00010543393327298,7,0.0320987654320988,0.111111111111111,0.0795061728395062,9
"Iloprost","Declining",1.59308242990082,0.00218944652256085,0.0043788930451217,"anti_aging",1.59308242990082,"Stomach",9,7.1776756556135e-05,10,0.0781893004115226,0.0666666666666667,0.0712757201646091,10
"Nintedanib","Declining",-1.85743434451955,1.94757602694352e-05,3.89515205388705e-05,"anti_aging",1.85743434451955,"Stomach",6,6.05944959833021e-05,17,0.135802469135802,0.0239651416122004,0.0687000726216412,11
"Sulfasalazine","Declining",1.33162030467424,0.0312287482381208,0.0624574964762415,"anti_aging",1.33162030467424,"Stomach",17,8.30270696699566e-05,8,0.0239651416122004,0.0925925925925926,0.0651416122004357,12
"Caffeine","Declining",1.25934473797878,0.0258231316667601,0.0516462633335201,"anti_aging",1.25934473797878,"Stomach",20,7.58113389228591e-05,9,0.0148148148148148,0.0781893004115226,0.0528395061728395,13
