"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Ponatinib","Declining",-1.87867272232847,0.0024632441564358,0.00492648831287161,"posi_aging",1.87867272232847,"Testis",1,3.1864268587194e-06,60,1,0,0.4,1
"Niacin","Declining",1.04250845150516,0.366379310344828,0.732758620689655,"anti_aging",1.04250845150516,"Testis",50,0.000331821280706744,2,0.00338983050847458,0.491525423728814,0.296271186440678,2
"Trovafloxacin","Rising",1.85744562199207,4.35181750015377e-06,8.70363500030755e-06,"anti_aging",1.85744562199207,"Testis",2,3.46348782921254e-05,50,0.491525423728814,0.00338983050847458,0.19864406779661,3
"Carfilzomib","Declining",-1.13035978300895,0.197905397982021,0.284569138276553,"posi_aging",1.13035978300895,"Testis",44,0.000301821151302233,3,0.0061633281972265,0.322033898305085,0.195685670261941,4
"Ranolazine","Declining",1.80602355938077,0.00448127905853059,0.00448127905853059,"anti_aging",1.80602355938077,"Testis",5,0.00017045688149791,7,0.186440677966102,0.128329297820823,0.151573849878935,5
"Bortezomib","Rising",1.28168333037901,0.0644490644490645,0.128898128898129,"posi_aging",1.28168333037901,"Testis",34,0.000283711882572672,4,0.0129611166500499,0.23728813559322,0.147557328015952,6
"Topiramate","Rising",-1.56652008401339,0.00141648527940268,0.00283297055880536,"anti_aging",1.56652008401339,"Testis",15,0.000171256435592232,5,0.0508474576271186,0.186440677966102,0.132203389830508,7
"Idarubicin","Declining",-1.82800637658427,0.00226075220831922,0.00452150441663844,"posi_aging",1.82800637658427,"Testis",3,3.33233730232162e-05,55,0.322033898305085,0.00154083204930662,0.129738058551618,8
"Metergoline","Declining",-1.82146250653729,0.00192427431684743,0.00384854863369486,"posi_aging",1.82146250653729,"Testis",4,3.39777591055826e-05,53,0.23728813559322,0.00223856731691717,0.0962583946274384,9
"Zonisamide","Declining",1.2024557313541,0.208994708994709,0.417989417989418,"anti_aging",1.2024557313541,"Testis",40,0.000170901651405166,6,0.00847457627118644,0.152542372881356,0.0949152542372881,10
"Lamotrigine","Declining",1.0961609302592,0.304672897196262,0.304761904761905,"anti_aging",1.0961609302592,"Testis",47,0.000169486113248255,8,0.00468806346916697,0.110169491525424,0.067976920302921,11
