"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Pseudoephedrine","Rising",1.74801048352082,9.47025760311954e-05,9.47025760311954e-05,"posi_aging",1.74801048352082,"Thyroid",1,2.4443301254632e-05,30,1,0.028858024691358,0.417314814814815,1
"Spironolactone","Rising",1.38596172972507,0.0414364640883978,0.0414364640883978,"posi_aging",1.38596172972507,"Thyroid",48,0.000273018781978881,2,0.0163001543209877,0.497685185185185,0.305131172839506,2
"Glucosamine","Rising",-1.72742586956815,0.000449906876892978,0.000449906876892978,"anti_aging",1.72742586956815,"Thyroid",2,5.49534169983562e-06,116,0.497685185185185,0.00403097062579821,0.201492656449553,3
"Gemfibrozil","Rising",1.04291859679963,0.349765258215962,0.349765258215962,"posi_aging",1.04291859679963,"Thyroid",135,0.000146856230543323,3,0.00281207133058985,0.330246913580247,0.199272976680384,4
"Miconazole","Rising",1.67027132327263,0.000110830058755034,0.000110830058755034,"posi_aging",1.67027132327263,"Thyroid",7,9.08283966920304e-05,5,0.138888888888889,0.196296296296296,0.173333333333333,5
"Bumetanide","Rising",0.936044778778511,0.588439306358381,0.588439306358381,"posi_aging",0.936044778778511,"Thyroid",163,0.000112514418632928,4,0.00153374233128834,0.246527777777778,0.148530163599182,6
"Carmustine","Rising",-1.71135775096721,0.000238579364919207,0.000238579364919207,"anti_aging",1.71135775096721,"Thyroid",3,5.69708886456939e-06,114,0.330246913580247,0.00418291098115659,0.134608512020793,7
"Triclosan","Rising",1.5719800189213,0.00478570427545227,0.00478570427545227,"posi_aging",1.5719800189213,"Thyroid",18,7.50475461477154e-05,6,0.0511831275720165,0.162808641975309,0.118158436213992,8
"Nabumetone","Rising",-1.70243515615693,0.000573717322502214,0.000573717322502214,"anti_aging",1.70243515615693,"Thyroid",4,4.59298738516246e-06,148,0.246527777777778,0.00215840840840841,0.0999061561561562,9
"Carbimazole","Rising",0.890378904838446,0.67431693989071,0.67431693989071,"posi_aging",0.890378904838446,"Thyroid",179,7.31592722230301e-05,7,0.000982826401820815,0.138888888888889,0.0837264638940616,10
"Adapalene","Rising",1.70027331327782,0.000563434008408789,0.000563434008408789,"posi_aging",1.70027331327782,"Thyroid",5,4.3974030346539e-06,156,0.196296296296296,0.00181030389363723,0.0796047008547009,11
"Methimazole","Rising",1.06213756015211,0.345238095238095,0.345238095238095,"posi_aging",1.06213756015211,"Thyroid",128,7.31592722230301e-05,8,0.00321903935185185,0.120949074074074,0.0738570601851852,12
"Olanzapine","Rising",-1.67746335612451,0.00032960196293154,0.00032960196293154,"anti_aging",1.67746335612451,"Thyroid",6,3.35911294999254e-06,178,0.162808641975309,0.0010143570536829,0.0657320710223332,13
"Propylthiouracil","Rising",-1.03660615989859,0.381756756756757,0.381756756756757,"anti_aging",1.03660615989859,"Thyroid",136,7.31592722230301e-05,9,0.00275735294117647,0.106995884773663,0.0653004720406681,14
"Zonisamide","Rising",1.63277869703326,0.0010932932731906,0.0010932932731906,"posi_aging",1.63277869703326,"Thyroid",9,3.25503026988405e-05,26,0.106995884773663,0.0340099715099715,0.0632043368154479,15
"Resorcinol","Rising",1.01140660554486,0.44,0.44,"posi_aging",1.01140660554486,"Thyroid",140,7.31592722230301e-05,10,0.0025462962962963,0.0958333333333333,0.0585185185185185,16
"Pentobarbital","Rising",1.66500718907587,0.00051846571025676,0.00051846571025676,"posi_aging",1.66500718907587,"Thyroid",8,1.32141068459697e-05,57,0.120949074074074,0.0129954515919428,0.0561769005847953,17
"Caffeine","Rising",-1.22204682156277,0.13519313304721,0.13519313304721,"anti_aging",1.22204682156277,"Thyroid",85,5.38865524729252e-05,11,0.00718954248366013,0.0867003367003367,0.0548960190136661,18
"Benzylpenicillin","Rising",1.32399088391956,0.0532915360501567,0.0532915360501567,"posi_aging",1.32399088391956,"Thyroid",61,5.17768871385639e-05,12,0.01183970856102,0.0790895061728395,0.0521895871281117,19
"Ampicillin","Rising",-1.08841270791561,0.276707530647986,0.276707530647986,"anti_aging",1.08841270791561,"Thyroid",121,5.13094861814758e-05,13,0.00367309458218549,0.0726495726495727,0.0450589814226178,20
"Theophylline","Rising",-1.33549574475693,0.0315393116675113,0.0315393116675113,"anti_aging",1.33549574475693,"Thyroid",56,3.70122304488292e-05,15,0.0133101851851852,0.0623456790123457,0.0427314814814815,21
"Yohimbine","Rising",-1.00417309277121,0.452830188679245,0.452830188679245,"anti_aging",1.00417309277121,"Thyroid",143,4.62079996961055e-05,14,0.0023957523957524,0.0671296296296296,0.0412360787360787,22
"Sulpiride","Rising",1.62343103720473,0.000931206736184879,0.000931206736184879,"posi_aging",1.62343103720473,"Thyroid",10,3.01713332805904e-06,202,0.0958333333333333,0.000343784378437844,0.038539603960396,23
"Lidocaine","Rising",1.6202142155222,0.00272637777512059,0.00272637777512059,"posi_aging",1.6202142155222,"Thyroid",13,1.46632455841537e-05,52,0.0726495726495727,0.0146901709401709,0.0378739316239316,24
"Iloprost","Rising",-1.19587676486868,0.142131979695431,0.142131979695431,"anti_aging",1.19587676486868,"Thyroid",91,3.65252628775331e-05,16,0.00641025641025641,0.0581597222222222,0.0374599358974359,25
"Gestrinone","Rising",-1.62207123378907,0.00198518182230317,0.00198518182230317,"anti_aging",1.62207123378907,"Thyroid",11,3.39053363346157e-06,175,0.0867003367003367,0.00111111111111111,0.0353468013468014,26
"Amrinone","Rising",-1.16865753619098,0.183641975308642,0.183641975308642,"anti_aging",1.16865753619098,"Thyroid",96,3.63063076989057e-05,17,0.00583526234567901,0.0544662309368192,0.0350138435003631,27
"Propofol","Rising",-1.59121996502384,0.0019559740797716,0.0019559740797716,"anti_aging",1.59121996502384,"Thyroid",17,2.11556500102144e-05,39,0.0544662309368192,0.0211301044634378,0.0344645550527903,28
"Papaverine","Rising",1.46093856382797,0.0215035224555984,0.0215035224555984,"posi_aging",1.46093856382797,"Thyroid",32,3.49585674445718e-05,25,0.0267650462962963,0.0355555555555556,0.0320393518518518,29
"Quetiapine","Rising",1.62169653607681,0.00380429741573408,0.00380429741573408,"posi_aging",1.62169653607681,"Thyroid",12,3.11404531841773e-06,191,0.0790895061728395,0.000630211363195657,0.0320139292870532,30
"Dyphylline","Rising",1.05889983815137,0.322,0.322,"posi_aging",1.05889983815137,"Thyroid",129,3.60684952490337e-05,18,0.00315819695664657,0.0511831275720165,0.0319731553258685,31
