"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Filgotinib","Declining",-2.23679510581323,8.24408823399035e-06,1.64881764679807e-05,"posi_aging",2.23679510581323,"Uterus",1,1.92799900314431e-05,46,1,0.00217391304347826,0.401304347826087,1
"Caffeine","Declining",-1.15797518639817,0.259950248756219,0.519900497512438,"anti_aging",1.15797518639817,"Uterus",31,0.000129017681524916,2,0.0129032258064516,0.49,0.299161290322581,2
"Irinotecan","Declining",-1.49652067516592,0.0466591969027659,0.0466591969027659,"posi_aging",1.49652067516592,"Uterus",12,0.000108067807376169,3,0.065,0.32,0.218,3
"Dasatinib","Rising",1.95438811788914,1.69487090199892e-06,3.38974180399783e-06,"posi_aging",1.95438811788914,"Uterus",2,4.62940068453003e-06,51,0.49,0,0.196,4
"Topotecan","Rising",1.60269377819022,0.00224005054719004,0.00448010109438009,"anti_aging",1.60269377819022,"Uterus",9,0.000108067807376169,4,0.0933333333333333,0.235,0.178333333333333,5
"Regorafenib","Rising",1.90339851423089,1.46339194883628e-05,2.92678389767256e-05,"posi_aging",1.90339851423089,"Uterus",3,3.34092094846317e-05,21,0.32,0.0285714285714286,0.145142857142857,6
"Miconazole","Rising",1.34167277404598,0.0289855072463768,0.0579710144927536,"anti_aging",1.34167277404598,"Uterus",20,0.000106907746769622,5,0.031,0.184,0.1228,7
"Drospirenone","Rising",1.63745994846147,0.00183496374076091,0.00366992748152181,"anti_aging",1.63745994846147,"Uterus",4,3.17310119793888e-05,27,0.235,0.0177777777777778,0.104666666666667,8
"Celecoxib","Rising",1.14417941786041,0.204334365325077,0.408668730650155,"posi_aging",1.14417941786041,"Uterus",32,8.13795036857164e-05,6,0.011875,0.15,0.09475,9
"Acamprosate","Rising",0.949119948632048,0.551440329218107,0.620786516853933,"posi_aging",0.949119948632048,"Uterus",47,7.96432743155362e-05,7,0.00170212765957447,0.125714285714286,0.0761094224924012,10
"Theophylline","Declining",1.01128264016344,0.438297872340426,0.777131782945736,"anti_aging",1.01128264016344,"Uterus",40,7.15227977782354e-05,8,0.0055,0.1075,0.0667,11
"Bumetanide","Rising",1.45995113735887,0.00861487947768956,0.0172297589553791,"anti_aging",1.45995113735887,"Uterus",13,5.0594180822627e-05,12,0.0584615384615385,0.065,0.0623846153846154,12
"Etoposide","Rising",1.62963261781692,0.00210276950481493,0.00420553900962986,"anti_aging",1.62963261781692,"Uterus",6,1.6878238968383e-05,50,0.15,0.000400000000000001,0.06024,13
