"drug","ID","NES","pvalue","p.adjust","aging_anti","abs_NES","Organ","Rank1","Random_score","Rank2","Standard_NES","Standard_Random","WeightedRank","total_rank"
"Atorvastatin","Declining",-2.44318680362029,1.10875981605163e-08,1.10875981605163e-08,"posi_aging",2.44318680362029,"Vagina",1,8.69100469441304e-05,13,1,0.0637362637362637,0.438241758241758,1
"Sulfasalazine","Rising",-1.38096333274544,0.00685393576816912,0.0137078715363382,"anti_aging",1.38096333274544,"Vagina",34,0.000384599617801758,2,0.015546218487395,0.492857142857143,0.301932773109244,2
"Pitavastatin","Declining",-2.40519210292042,2.70421797642094e-08,2.70421797642094e-08,"posi_aging",2.40519210292042,"Vagina",2,2.73733862538876e-05,49,0.492857142857143,0.00641399416909621,0.200991253644315,3
"Riluzole","Declining",0.931838374547242,0.594470046082949,0.80449141347424,"anti_aging",0.931838374547242,"Vagina",66,0.000343285138507584,3,0.00108225108225108,0.323809523809524,0.194718614718615,4
"Caffeine","Declining",1.34325399134159,0.0532183922466342,0.106436784493268,"anti_aging",1.34325399134159,"Vagina",36,0.000139483171223084,4,0.0138888888888889,0.239285714285714,0.149126984126984,5
"Simvastatin","Declining",-2.40243676223502,2.56351850338875e-08,2.56351850338875e-08,"posi_aging",2.40243676223502,"Vagina",3,2.81021040658866e-05,48,0.323809523809524,0.00684523809523809,0.133630952380952,6
"Cladribine","Declining",-1.82996632779119,0.00112605782828068,0.00225211565656137,"anti_aging",1.82996632779119,"Vagina",6,9.20474301789766e-05,8,0.154761904761905,0.1125,0.129404761904762,7
"Tipiracil","Declining",-1.51953458827615,0.0220705356562811,0.0441410713125622,"posi_aging",1.51953458827615,"Vagina",21,0.000116880319271558,5,0.0340136054421769,0.188571428571429,0.126748299319728,8
"Ketamine","Rising",-1.50025128127755,0.000161190627906334,0.000322381255812667,"anti_aging",1.50025128127755,"Vagina",22,0.000108876794893875,6,0.0318181818181818,0.154761904761905,0.105584415584416,9
"Lovastatin","Declining",-2.17756540322948,3.78009976213848e-06,3.78009976213848e-06,"posi_aging",2.17756540322948,"Vagina",4,2.81021040658866e-05,47,0.239285714285714,0.00729483282674772,0.100091185410334,10
"Tretinoin","Declining",0.94863729957203,0.588235294117647,0.740061162079511,"anti_aging",0.94863729957203,"Vagina",64,9.73334711733779e-05,7,0.0015625,0.130612244897959,0.0789923469387755,11
"Dasatinib","Rising",1.91142356616712,2.1926752039454e-08,4.3853504078908e-08,"posi_aging",1.91142356616712,"Vagina",5,1.68289159133776e-06,71,0.188571428571429,0,0.0754285714285714,12
"Fludarabine","Declining",-1.64445635718918,0.00178334980373022,0.00356669960746043,"posi_aging",1.64445635718918,"Vagina",15,8.82516599988873e-05,11,0.0533333333333333,0.0779220779220779,0.0680865800865801,13
"Cabazitaxel","Declining",-1.39828736402104,0.0297605683501867,0.0595211367003733,"posi_aging",1.39828736402104,"Vagina",31,9.04153915448349e-05,9,0.0184331797235023,0.0984126984126984,0.06642089093702,14
"Rosuvastatin","Declining",-1.80124869830185,0.000760246168649628,0.000760246168649628,"posi_aging",1.80124869830185,"Vagina",7,2.73733862538876e-05,50,0.130612244897959,0.006,0.0558448979591837,15
"Alvimopan","Rising",1.77243410614114,1.24770541538846e-06,2.49541083077693e-06,"anti_aging",1.77243410614114,"Vagina",9,5.35834229951931e-05,27,0.0984126984126984,0.0232804232804233,0.0533333333333333,16
"Vincristine","Declining",0.835813128509035,0.731850117096019,0.863966770508827,"anti_aging",0.835813128509035,"Vagina",70,9.01144187081492e-05,10,0.00020408163265306,0.0871428571428571,0.0523673469387755,17
"Lorazepam","Rising",-1.79103004573119,9.78184248303721e-07,1.95636849660744e-06,"anti_aging",1.79103004573119,"Vagina",8,2.01176245485818e-05,65,0.1125,0.00131868131868132,0.0457912087912088,18
"Acamprosate","Rising",1.19414496773092,0.0966183574879227,0.193236714975845,"posi_aging",1.19414496773092,"Vagina",45,8.7411416326363e-05,12,0.00825396825396825,0.0702380952380952,0.0454444444444444,19
"Doxorubicin","Declining",-1.76913438386204,0.0011371461378924,0.0022742922757848,"posi_aging",1.76913438386204,"Vagina",10,5.26262190122558e-05,32,0.0871428571428571,0.0174107142857143,0.0453035714285714,20
"Saxagliptin","Declining",1.6051057647122,0.00710331909679224,0.0142066381935845,"anti_aging",1.6051057647122,"Vagina",16,5.92775827846363e-05,18,0.0491071428571429,0.0420634920634921,0.0448809523809524,21
"Amitriptyline","Rising",-1.65742229741949,1.68881885324015e-05,3.3776377064803e-05,"anti_aging",1.65742229741949,"Vagina",14,5.48040116490278e-05,25,0.0581632653061224,0.0262857142857143,0.0390367346938775,22
"Clofarabine","Declining",1.38623288998412,0.0427784586429504,0.0427784586429504,"anti_aging",1.38623288998412,"Vagina",32,8.56041102074561e-05,15,0.0174107142857143,0.0533333333333333,0.0389642857142857,23
"Gemcitabine","Rising",1.15989794569971,0.145662847790507,0.217204301075269,"posi_aging",1.15989794569971,"Vagina",51,8.66106711033074e-05,14,0.00560224089635854,0.0581632653061224,0.0371388555422169,24
"Idelalisib","Rising",1.70642089295526,4.46983203252544e-06,8.93966406505087e-06,"posi_aging",1.70642089295526,"Vagina",12,3.71937178634083e-05,37,0.0702380952380952,0.0131274131274131,0.035971685971686,25
"Aripiprazole","Declining",-1.49104903652194,0.0143026648275378,0.0286053296550756,"posi_aging",1.49104903652194,"Vagina",23,5.56575214825073e-05,21,0.0298136645962733,0.0340136054421769,0.0323336291038154,26
"Atomoxetine","Declining",1.76021680275434,0.00141406184970946,0.002827608362243,"anti_aging",1.76021680275434,"Vagina",11,2.02988521382066e-06,68,0.0779220779220779,0.000630252100840336,0.0315469824293354,27
"Hydroxyurea","Declining",-1.02841483952848,0.41156462585034,0.82312925170068,"posi_aging",1.02841483952848,"Vagina",60,8.37063585427361e-05,16,0.00261904761904762,0.0491071428571429,0.0305119047619048,28
"Donepezil","Declining",-1.42620404658892,0.023891543905707,0.047783087811414,"posi_aging",1.42620404658892,"Vagina",30,5.68199079819393e-05,20,0.0195238095238095,0.0364285714285714,0.0296666666666667,29
"Linagliptin","Declining",-0.866157491096302,0.691489361702128,1,"posi_aging",0.866157491096302,"Vagina",69,5.92775827846363e-05,17,0.00041407867494824,0.0453781512605042,0.0273925222262818,30
"Etomidate","Declining",-1.69043865436659,0.00188754032751926,0.00377508065503853,"posi_aging",1.69043865436659,"Vagina",13,2.013016930358e-05,61,0.0637362637362637,0.00234192037470726,0.0268996577193299,31
"Albendazole","Declining",1.58235648063487,0.00675795845692253,0.0135159169138451,"anti_aging",1.58235648063487,"Vagina",17,3.6525754689357e-05,40,0.0453781512605042,0.0110714285714286,0.0247941176470588,32
"Sitagliptin","Declining",1.07683072892197,0.333333333333333,0.666666666666667,"anti_aging",1.07683072892197,"Vagina",59,5.92775827846363e-05,19,0.00290556900726392,0.0390977443609022,0.0246208742194469,33
"Tramadol","Rising",-1.337574523738,0.0164418084419275,0.0328836168838551,"anti_aging",1.337574523738,"Vagina",38,5.55023104951086e-05,22,0.012406015037594,0.0318181818181818,0.0240533151059467,34
"Methylnaltrexone","Declining",1.45169104270876,0.03822371328528,0.0764474265705601,"anti_aging",1.45169104270876,"Vagina",25,5.27506965113251e-05,31,0.0262857142857143,0.0184331797235023,0.0215741935483871,35
"Naloxone","Rising",-1.0949390122567,0.262361251261352,0.524722502522704,"anti_aging",1.0949390122567,"Vagina",57,5.49156019961427e-05,23,0.00350877192982456,0.0298136645962733,0.0192917075296938,36
"Loperamide","Rising",1.14269499070481,0.197823748585418,0.395647497170836,"posi_aging",1.14269499070481,"Vagina",54,5.48161957650715e-05,24,0.0044973544973545,0.0279761904761905,0.0185846560846561,37
"Naltrexone","Declining",1.19938048156578,0.184834123222749,0.235211267605634,"anti_aging",1.19938048156578,"Vagina",44,5.37570700041538e-05,26,0.00876623376623377,0.0247252747252747,0.0183416583416583,38
"Amoxapine","Declining",-1.5554845376187,0.00918874161272054,0.0183774832254411,"anti_aging",1.5554845376187,"Vagina",19,2.07194142204247e-05,58,0.0390977443609022,0.00320197044334975,0.0175602800103708,39
"Sufentanil","Declining",1.3330171822242,0.0872727272727273,0.0872727272727273,"anti_aging",1.3330171822242,"Vagina",40,5.35834229951931e-05,29,0.0110714285714286,0.0206896551724138,0.0168423645320197,40
"Ondansetron","Rising",-1.38319983235489,0.00257137933028072,0.00514275866056145,"anti_aging",1.38319983235489,"Vagina",33,5.24912738016455e-05,33,0.0164502164502164,0.0164502164502164,0.0164502164502164,41
"Propofol","Rising",-1.52431117056996,0.00114600065318508,0.00229200130637017,"anti_aging",1.52431117056996,"Vagina",20,2.017892186217e-05,60,0.0364285714285714,0.00261904761904762,0.0161428571428571,42
"Nalbuphine","Declining",-1.14439475578571,0.217647058823529,0.435294117647059,"posi_aging",1.14439475578571,"Vagina",53,5.35834229951931e-05,28,0.00485175202156334,0.0219387755102041,0.0151039661147478,43
"Theophylline","Declining",-1.34030216396193,0.0735849056603774,0.147169811320755,"posi_aging",1.34030216396193,"Vagina",37,3.76881732308395e-05,34,0.0131274131274131,0.015546218487395,0.0145786963434022,44
"Fluvastatin","Declining",-1.49071824516203,0.0184544591928226,0.0184544591928226,"posi_aging",1.49071824516203,"Vagina",24,2.7064671315066e-05,52,0.0279761904761905,0.00521978021978022,0.0143223443223443,45
"Avanafil","Declining",-1.42723745214913,0.0325097529258778,0.0650195058517555,"anti_aging",1.42723745214913,"Vagina",29,3.50322526442478e-05,42,0.0206896551724138,0.00986394557823129,0.0141942294159043,46
"Trimebutine","Declining",-1.17337275148938,0.181052631578947,0.362105263157895,"posi_aging",1.17337275148938,"Vagina",50,5.34168401916287e-05,30,0.006,0.0195238095238095,0.0141142857142857,47
"Panobinostat","Declining",1.43695531016151,0.0283079382907722,0.0566158765815445,"anti_aging",1.43695531016151,"Vagina",28,2.83929379853526e-05,46,0.0219387755102041,0.0077639751552795,0.0134338952972493,48
"Lamotrigine","Declining",-1.44563515979268,0.0444357868530508,0.0694087403598972,"anti_aging",1.44563515979268,"Vagina",26,2.21153369843119e-05,55,0.0247252747252747,0.00415584415584415,0.0123836163836164,49
"Sildenafil","Declining",-1.19099935780698,0.167630057803468,0.167630057803468,"anti_aging",1.19099935780698,"Vagina",47,3.72643107318267e-05,35,0.00729483282674772,0.0146938775510204,0.0117342596613113,50
"Tadalafil","Declining",-1.1890548569051,0.184757505773672,0.192200557103064,"anti_aging",1.1890548569051,"Vagina",48,3.68842553183957e-05,38,0.00684523809523809,0.012406015037594,0.0101817042606516,51
"Nelarabine","Rising",-1.43899600593445,0.00240196287811516,0.00480392575623033,"anti_aging",1.43899600593445,"Vagina",27,1.89775166472004e-06,69,0.0232804232804233,0.00041407867494824,0.00956061651713826,52
